vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels
10000,64,8,200,16,10,0.243500,10.000,0.010084,0.012708,0.014556,0.010283,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,16,50,0.420700,50.000,0.026104,0.030713,0.033299,0.026465,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,16,200,0.709000,200.000,0.091729,0.100504,0.105006,0.092395,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,16,500,0.874870,500.000,0.203146,0.214633,0.219356,0.204359,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,32,10,0.384000,10.000,0.018125,0.022131,0.023959,0.018301,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,32,50,0.420700,50.000,0.026208,0.031460,0.035733,0.026701,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,32,200,0.709000,200.000,0.090605,0.098932,0.101186,0.091356,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,32,500,0.874870,500.000,0.202271,0.216059,0.220638,0.203898,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,64,10,0.575000,10.000,0.031605,0.036668,0.039937,0.032077,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,64,50,0.482000,50.000,0.032125,0.037510,0.042972,0.032728,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,64,200,0.709000,200.000,0.091208,0.097654,0.104888,0.091705,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,64,500,0.874870,500.000,0.202333,0.216811,0.222796,0.204203,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,128,10,0.781500,10.000,0.058167,0.064915,0.069977,0.058737,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,128,50,0.680900,50.000,0.058396,0.064071,0.071383,0.058950,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,128,200,0.709000,200.000,0.092062,0.099131,0.103300,0.092659,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,128,500,0.874870,500.000,0.202167,0.212598,0.217837,0.203094,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,256,10,0.924000,10.000,0.109041,0.118894,0.126299,0.110004,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,256,50,0.860600,50.000,0.110417,0.118500,0.123915,0.111314,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,256,200,0.776900,200.000,0.110937,0.118133,0.120301,0.111462,200,825.989,12106.70,7798784,7.438,5,6
10000,64,8,200,256,500,0.874870,500.000,0.203334,0.215856,0.221642,0.204732,200,825.989,12106.70,7798784,7.438,5,6
10000,64,16,200,16,10,0.459500,10.000,0.016251,0.021708,0.024061,0.016781,200,1114.829,8969.99,2572288,2.453,3,4
