vector_count,m,ef_construction,max_graph_level,build_time_ms,insert_throughput_per_sec,memory_delta_mb,level_distribution,dimensions,degree_histogram_level0,peak_rss_mb
100000,8,50,5,4318.090,23158.39,61.094,87566;10889;1355;165;22;3,64,11;32;154;392;1064;2595;5266;9109;13364;10316;8261;6644;5473;4628;4332;6032;22327,124.92
100000,16,50,4,7251.694,13789.88,29.000,93742;5896;338;22;2,64,0;0;0;0;0;1;0;4;13;34;81;186;440;928;1996;3869;8266;7149;6477;5720;5121;4603;4242;3882;3429;3161;2963;2792;2487;2558;2976;5385;21237,146.75
100000,32,50,3,12645.836,7907.74,54.375,96797;3111;90;2,64,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;10;28;63;219;676;4083;3821;3655;3444;3226;3172;3043;2865;2761;2696;2545;2536;2349;2282;2200;2125;1996;2053;1949;1855;1707;1728;1621;1573;1592;1552;1526;1503;1602;1785;2625;5266;20263,193.66
100000,8,100,5,7519.864,13298.11,8.328,87465;11036;1305;171;20;3,64,6;23;38;168;491;1314;3300;7216;13928;11250;8833;7544;6063;5336;5087;6831;22572,194.50
100000,16,100,3,12099.834,8264.58,1.109,93739;5886;356;19,64,0;0;0;0;0;0;0;2;0;2;6;23;55;183;566;1736;7869;6996;6394;5872;5409;4997;4404;4131;3829;3580;3398;3255;3015;3253;3630;6178;21217,195.62
100000,32,100,3,20663.970,4839.34,0.922,96988;2921;88;3,64,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;52;3650;3476;3282;3236;3027;2910;2682;2584;2542;2542;2361;2383;2218;2181;2138;2083;2051;1974;2000;2025;1859;1839;1905;1851;1799;1775;1879;1935;2036;2354;3224;5968;20176,196.58
100000,8,200,5,14003.816,7140.91,-1.844,87589;10904;1312;170;21;4,64,2;2;21;62;181;533;1547;4629;14121;11681;9644;8224;6862;6021;6003;7782;22685,196.66
100000,16,200,4,21970.352,4551.59,0.469,93741;5853;386;17;3,64,0;0;0;0;0;0;0;0;0;2;2;3;9;26;102;509;7121;6460;6000;5626;5111;4943;4610;4189;4109;4012;3660;3710;3660;3735;4426;6899;21076,197.25
100000,32,200,3,34738.210,2878.67,0.625,96852;3042;101;5,64,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3348;3141;3094;2874;2905;2655;2590;2521;2396;2389;2282;2193;2171;2141;2097;2028;2026;1971;1932;1995;1911;1889;1884;1927;2012;1966;2067;2216;2321;2823;3705;6559;19965,197.72
100000,8,400,5,26466.271,3778.39,0.438,87521;10982;1329;136;29;3,64,1;1;3;18;50;181;701;2415;13649;11719;9843;8622;7508;6853;6985;8585;22866,198.41
100000,16,400,4,40025.157,2498.43,0.203,93734;5845;396;24;1,64,0;0;0;0;0;0;0;0;0;0;0;1;0;3;17;153;6486;5980;5532;5391;4924;4748;4528;4226;4194;4061;3980;3959;4034;4243;4865;7511;21164,198.78
100000,32,400,3,60575.677,1650.83,-17.234,96915;2997;84;4,64,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3134;2975;2923;2814;2721;2637;2586;2461;2401;2223;2280;2164;2141;2132;2119;2022;2023;1937;1956;1957;1967;2001;1933;1927;2008;2055;2074;2333;2516;2896;3956;6675;20050,198.98
100000,8,50,5,6951.634,14385.11,72.109,87399;11020;1408;159;12;2,128,14;64;183;601;1610;3589;6825;10661;12844;9818;7626;5992;5014;4249;3839;5176;21895,310.41
100000,16,50,4,12851.716,7781.06,0.578,93812;5795;362;30;1,128,0;0;0;0;1;1;5;19;48;112;333;676;1386;2566;4346;6248;7782;6761;6094;5134;4702;4205;3679;3225;2956;2797;2416;2247;2094;2080;2305;4359;21423,311.06
100000,32,50,3,25236.162,3962.57,29.422,96845;3040;109;6,128,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;11;31;60;157;306;522;958;1703;2745;4347;4186;3921;3616;3372;3215;3002;2795;2694;2514;2521;2477;2137;2119;2067;1871;1743;1762;1644;1534;1504;1498;1359;1325;1277;1244;1190;1128;1182;1281;1795;4349;20831,340.50
100000,8,100,6,12751.642,7842.13,0.250,87577;10842;1370;183;25;2;1,128,7;39;134;387;1075;2620;5470;9410;13418;10266;8109;6601;5419;4558;4213;5945;22329,343.03
100000,16,100,3,22374.620,4469.35,-5.000,93812;5794;374;20,128,0;0;0;0;1;1;1;2;12;31;94;218;514;1210;2473;4498;8118;7145;6499;5755;5018;4552;4056;3676;3396;3004;2788;2653;2397;2368;2893;5041;21586,343.28
100000,32,100,3,42082.861,2376.26,1.672,96839;3050;107;4,128,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;12;21;49;124;353;959;4101;4035;3762;3601;3382;3167;2914;2880;2788;2708;2549;2437;2407;2319;2125;2106;1975;1915;1896;1712;1749;1681;1608;1589;1468;1475;1489;1417;1527;1657;2494;5095;20451,343.28
100000,8,200,5,24133.602,4143.60,7.406,87514;10927;1371;167;19;2,128,3;15;45;170;543;1551;3718;7790;13696;11002;8988;7189;5950;5136;4813;6603;22788,344.95
100000,16,200,4,40397.492,2475.40,-13.688,93853;5785;336;23;3,128,0;0;0;0;0;0;0;2;1;7;13;28;106;313;837;2406;7968;7211;6409;5844;5344;4928;4450;4113;3737;3467;3225;3049;2852;2938;3441;6020;21291,344.95
100000,32,200,3,72619.628,1377.04,0.031,96909;2987;103;1,128,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;19;124;3640;3617;3481;3183;3148;2946;2793;2684;2613;2481;2452;2414;2222;2280;2067;2136;2105;1970;1897;1900;1844;1875;1699;1778;1773;1744;1812;1837;1902;2296;3105;5969;20189,344.95
100000,8,400,5,45396.540,2202.81,-4.547,87472;10986;1368;146;26;2,128,0;3;20;65;208;670;2073;5579;14227;11298;9566;7831;6734;5758;5592;7552;22824,344.95
100000,16,400,3,73860.208,1353.91,5.328,93715;5911;357;17,128,0;0;0;0;0;0;0;0;0;0;1;6;11;50;168;766;7291;6689;6189;5713;5196;5100;4485;4212;4020;3834;3627;3473;3453;3649;4186;6618;21263,344.95
