vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
100000,64,8,50,16,10,0.053000,10.000,0.022500,0.034627,0.041214,0.023671,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,16,50,0.107020,50.000,0.061354,0.084948,0.102593,0.062890,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,16,200,0.252860,200.000,0.191208,0.233385,0.270223,0.195332,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,16,500,0.398060,500.000,0.449083,0.532042,0.576221,0.458975,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,32,10,0.095400,10.000,0.035875,0.048000,0.054045,0.036488,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,32,50,0.107020,50.000,0.059500,0.088169,0.104006,0.061476,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,32,200,0.252860,200.000,0.202750,0.257029,0.287543,0.207509,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,32,500,0.398060,500.000,0.445063,0.529156,0.579773,0.455069,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,64,10,0.163500,10.000,0.068041,0.090421,0.102689,0.069592,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,64,50,0.131680,50.000,0.065167,0.083090,0.091543,0.066372,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
100000,64,8,50,64,200,0.252860,200.000,0.223729,0.323058,0.380433,0.233243,1000,4318.090,23158.39,64061440,61.094,5,6,random,-1.00,124.92
