vector_count,m,ef_construction,max_graph_level,build_time_ms,insert_throughput_per_sec,memory_delta_mb,level_distribution,dimensions,degree_histogram_level0,peak_rss_mb
10000,8,200,4,684.840,14601.94,6.453,8759;1066;154;17;4,32,0;0;0;0;1;0;11;87;1210;1044;1027;873;820;824;832;952;2319,13.72
10000,16,200,3,889.944,11236.67,2.469,9352;603;44;1,32,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;585;601;537;508;477;423;431;449;439;411;408;386;467;430;521;800;2119,16.34
10000,32,200,2,1249.209,8005.07,4.812,9686;302;12,32,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;295;299;295;284;251;259;242;247;234;235;227;206;240;202;220;199;209;192;193;190;215;194;179;197;208;187;194;250;253;308;398;689;2009,21.17
10000,8,200,5,863.711,11577.95,2.516,8754;1099;124;21;1;1,64,0;0;0;0;1;4;28;128;1287;1139;949;901;817;744;776;908;2318,27.27
10000,16,200,3,1165.629,8579.06,1.594,9367;588;41;4,64,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;609;573;568;494;506;494;455;418;396;411;404;394;403;444;525;783;2114,28.88
10000,32,200,2,1627.896,6142.90,0.062,9697;291;12,64,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;292;305;298;272;269;272;250;231;253;205;239;216;223;198;223;185;207;187;199;168;164;213;211;207;206;203;216;234;268;304;413;652;2017,28.95
10000,8,200,4,1178.213,8487.43,4.922,8747;1101;134;16;2,128,0;0;0;1;4;20;66;235;1367;1164;966;867;730;687;716;894;2283,40.92
10000,16,200,3,1641.306,6092.71,0.078,9351;607;40;2,128,0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;654;628;574;504;497;452;414;421;422;402;434;382;392;415;484;736;2167,41.00
10000,32,200,3,2306.773,4335.06,3.281,9702;286;11;1,128,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;309;305;294;257;255;275;222;250;217;220;207;216;188;233;189;200;199;203;192;208;201;204;202;191;197;216;233;227;288;379;709;2001,44.28
10000,8,200,5,1924.737,5195.52,9.875,8760;1065;154;15;3;3,256,0;0;1;0;15;25;131;400;1438;1159;963;815;645;663;620;806;2319,74.72
10000,16,200,3,2782.965,3593.29,0.016,9363;593;41;3,256,0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;24;726;591;591;605;515;476;449;448;386;365;364;336;375;405;489;756;2093,74.75
10000,32,200,3,3994.316,2503.56,0.000,9682;303;14;1,256,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336;293;316;272;266;254;279;260;246;237;237;218;223;235;206;188;197;174;205;163;219;190;194;183;181;205;209;216;247;270;374;678;2029,74.75
