vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
10000,32,8,200,16,10,0.466700,10.000,0.008250,0.010710,0.011916,0.008415,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,16,50,0.638260,50.000,0.021250,0.024667,0.027418,0.021535,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,16,200,0.862985,200.000,0.074813,0.078416,0.083458,0.075062,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,16,500,0.949420,500.000,0.167625,0.173417,0.183002,0.168004,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,32,10,0.651800,10.000,0.014291,0.017208,0.018583,0.014486,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,32,50,0.638260,50.000,0.021000,0.024377,0.026083,0.021295,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,32,200,0.862985,200.000,0.074666,0.078293,0.081254,0.074881,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,32,500,0.949420,500.000,0.167583,0.173750,0.184675,0.167962,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,64,10,0.819700,10.000,0.025542,0.028791,0.030044,0.025781,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,64,50,0.705160,50.000,0.026167,0.029296,0.031543,0.026361,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,64,200,0.862985,200.000,0.074417,0.078208,0.082922,0.074745,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,64,500,0.949420,500.000,0.167792,0.173629,0.183254,0.168259,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,128,10,0.939600,10.000,0.046980,0.050127,0.053459,0.047245,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,128,50,0.869380,50.000,0.047625,0.050916,0.053376,0.047867,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,128,200,0.862985,200.000,0.074667,0.078085,0.084142,0.074937,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,128,500,0.949420,500.000,0.167667,0.175170,0.185463,0.168173,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,256,10,0.988500,10.000,0.088792,0.092627,0.098542,0.089058,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,256,50,0.965440,50.000,0.089312,0.093215,0.098520,0.089598,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,256,200,0.908710,200.000,0.091334,0.095127,0.100208,0.091579,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,8,200,256,500,0.949420,500.000,0.167834,0.173708,0.181923,0.168174,1000,684.840,14601.94,6766592,6.453,4,5,random,-1.00,13.72
10000,32,16,200,16,10,0.692700,10.000,0.012583,0.015542,0.017251,0.012766,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,16,50,0.852560,50.000,0.031333,0.034044,0.035709,0.031474,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,16,200,0.973550,200.000,0.104083,0.108504,0.113939,0.104394,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,16,500,0.995328,500.000,0.208875,0.216458,0.228302,0.209431,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,32,10,0.853800,10.000,0.021459,0.024750,0.027628,0.021741,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,32,50,0.852560,50.000,0.031292,0.033919,0.037751,0.031458,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,32,200,0.973550,200.000,0.104042,0.108921,0.115209,0.104299,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,32,500,0.995328,500.000,0.208834,0.215500,0.226048,0.209196,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,64,10,0.955200,10.000,0.038270,0.041002,0.044089,0.038428,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,64,50,0.898080,50.000,0.038292,0.041044,0.042708,0.038421,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,64,200,0.973550,200.000,0.104500,0.108835,0.115377,0.104783,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,64,500,0.995328,500.000,0.208958,0.216750,0.227127,0.209502,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,128,10,0.993500,10.000,0.068959,0.072419,0.075503,0.069207,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,128,50,0.976420,50.000,0.069542,0.073004,0.075210,0.069708,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,128,200,0.973550,200.000,0.104333,0.108752,0.114842,0.104591,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,128,500,0.995328,500.000,0.208896,0.217603,0.228958,0.209703,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,256,10,0.999300,10.000,0.123062,0.127919,0.134893,0.123322,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,256,50,0.997520,50.000,0.123334,0.129542,0.139893,0.123871,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,256,200,0.987120,200.000,0.125625,0.130670,0.138514,0.125942,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,16,200,256,500,0.995328,500.000,0.208833,0.215710,0.228793,0.209469,1000,889.944,11236.67,2588672,2.469,3,4,random,-1.00,16.34
10000,32,32,200,16,10,0.874500,10.000,0.019917,0.023458,0.025583,0.020196,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,16,50,0.964480,50.000,0.048750,0.051833,0.055724,0.048921,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,16,200,0.997910,200.000,0.141833,0.147294,0.154668,0.142230,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,16,500,0.999860,500.000,0.252875,0.269004,0.280377,0.254608,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,32,10,0.964300,10.000,0.033291,0.036212,0.038875,0.033472,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,32,50,0.964480,50.000,0.049125,0.052375,0.056166,0.049308,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,32,200,0.997910,200.000,0.141500,0.147125,0.156127,0.141960,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,32,500,0.999860,500.000,0.252125,0.260554,0.269802,0.252602,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,64,10,0.995100,10.000,0.059750,0.063752,0.070175,0.060068,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,64,50,0.980840,50.000,0.059875,0.063375,0.066713,0.060023,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,64,200,0.997910,200.000,0.141750,0.148129,0.156068,0.142173,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,64,500,0.999860,500.000,0.253708,0.285764,0.304066,0.259540,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,128,10,0.999600,10.000,0.106271,0.152533,0.260257,0.114730,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,128,50,0.998500,50.000,0.104208,0.112381,0.134147,0.105503,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,128,200,0.997910,200.000,0.142166,0.159837,0.236857,0.146447,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,128,500,0.999860,500.000,0.257500,0.280904,0.322918,0.260477,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,256,10,1.000000,10.000,0.163250,0.181935,0.252694,0.167351,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,256,50,0.999920,50.000,0.165250,0.178730,0.191210,0.166444,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,256,200,0.999330,200.000,0.171313,0.189879,0.195544,0.174178,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,32,32,200,256,500,0.999860,500.000,0.251750,0.270752,0.282933,0.253884,1000,1249.209,8005.07,5046272,4.812,2,3,random,-1.00,21.17
10000,64,8,200,16,10,0.244900,10.000,0.010500,0.013877,0.016083,0.010747,1000,863.711,11577.95,2637824,2.516,5,6,random,-1.00,27.27
10000,64,8,200,16,50,0.411680,50.000,0.027375,0.032333,0.034793,0.027728,1000,863.711,11577.95,2637824,2.516,5,6,random,-1.00,27.27
10000,64,8,200,16,200,0.704925,200.000,0.094895,0.101008,0.112464,0.095725,1000,863.711,11577.95,2637824,2.516,5,6,random,-1.00,27.27
