vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
1000000,128,16,200,16,10,0.011333,10.000,0.126354,0.185846,0.204430,0.130744,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,16,50,0.028667,50.000,0.333479,0.469768,0.597153,0.348597,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,16,200,0.080700,200.000,1.148020,1.406967,1.580520,1.173602,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,16,500,0.154193,500.000,2.684083,2.995586,3.124648,2.707826,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,32,10,0.020667,10.000,0.219062,0.297752,0.331329,0.222257,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,32,50,0.028667,50.000,0.338750,0.503913,0.699563,0.354081,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,32,200,0.080700,200.000,1.173500,1.474967,1.689410,1.212927,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,32,500,0.154193,500.000,2.731562,3.133910,3.256174,2.772888,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,64,10,0.040333,10.000,0.413521,0.531179,0.606962,0.417879,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,64,50,0.035667,50.000,0.413145,0.549016,0.610550,0.418793,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,64,200,0.080700,200.000,1.158291,1.385010,1.539335,1.176563,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,64,500,0.154193,500.000,2.719562,3.018779,3.235117,2.744115,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,128,10,0.079000,10.000,0.777563,0.953927,1.030343,0.782693,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,128,50,0.067733,50.000,0.768292,0.978054,1.052748,0.784121,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,128,200,0.080700,200.000,1.153792,1.390898,1.504538,1.176109,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,128,500,0.154193,500.000,2.717750,3.039404,3.215088,2.748531,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,256,10,0.146000,10.000,1.471770,1.759790,1.894017,1.492039,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,256,50,0.123200,50.000,1.467334,1.734892,1.879243,1.489010,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,256,200,0.102183,200.000,1.503541,1.867255,2.893900,1.564585,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
1000000,128,16,200,256,500,0.154193,500.000,2.663542,3.123724,3.274748,2.711375,300,991762.988,1008.31,312000512,297.547,6,7,random,-1.00,1650.09
