vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
1000000,64,16,200,16,10,0.058333,10.000,0.085896,0.124573,0.146500,0.088009,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,16,50,0.118933,50.000,0.223271,0.297944,0.328752,0.227308,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,16,200,0.271217,200.000,0.748271,0.874360,0.911631,0.756795,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,16,500,0.414893,500.000,1.735187,1.869231,1.939870,1.747632,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,32,10,0.105333,10.000,0.152645,0.211366,0.235997,0.155248,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,32,50,0.118933,50.000,0.224583,0.301802,0.330325,0.229017,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,32,200,0.271217,200.000,0.758375,0.874602,0.917796,0.760734,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,32,500,0.414893,500.000,1.739604,1.869704,1.935161,1.748204,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,64,10,0.191333,10.000,0.278188,0.361382,0.383005,0.281083,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,64,50,0.148200,50.000,0.278209,0.362473,0.391515,0.280849,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,64,200,0.271217,200.000,0.754271,0.873987,0.924093,0.764808,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,64,500,0.414893,500.000,1.748750,2.008914,2.131393,1.778962,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,128,10,0.316333,10.000,0.523834,0.687871,0.773895,0.539179,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,128,50,0.249333,50.000,0.527375,0.673258,0.730660,0.540382,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,128,200,0.271217,200.000,0.783417,0.978213,1.053129,0.802969,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,128,500,0.414893,500.000,1.786792,2.098140,2.234304,1.842368,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,256,10,0.483333,10.000,0.970104,1.168367,1.318224,0.993055,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,256,50,0.396133,50.000,0.953458,1.094596,1.211311,0.969555,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,256,200,0.321333,200.000,0.960417,1.119155,1.173958,0.977306,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,16,200,256,500,0.414893,500.000,1.826688,2.180068,2.577893,1.880663,300,639870.928,1562.82,615727104,587.203,5,6,random,-1.00,1185.34
1000000,64,32,200,16,10,0.153667,10.000,0.160459,0.225180,0.253676,0.164912,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,16,50,0.274867,50.000,0.407979,0.530283,0.570210,0.417562,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,16,200,0.508850,200.000,1.348084,1.456542,1.555263,1.352753,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,16,500,0.687600,500.000,3.140729,3.224825,3.286031,3.142481,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,32,10,0.259000,10.000,0.284354,0.378386,0.409388,0.288911,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,32,50,0.274867,50.000,0.410375,0.531055,0.560780,0.418793,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,32,200,0.508850,200.000,1.354000,1.484339,1.553976,1.363388,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,32,500,0.687600,500.000,3.191229,3.483699,3.595438,3.229557,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,64,10,0.400667,10.000,0.502021,0.631196,0.696803,0.513579,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,64,50,0.325333,50.000,0.508666,0.635002,0.696165,0.515960,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,64,200,0.508850,200.000,1.355166,1.473723,1.510574,1.360047,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,64,500,0.687600,500.000,3.140708,3.223861,3.304811,3.143984,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,128,10,0.578000,10.000,0.906875,1.024069,1.087237,0.911315,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,128,50,0.486200,50.000,0.912562,1.037535,1.105149,0.912533,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,128,200,0.508850,200.000,1.348500,1.466293,1.557640,1.351764,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,128,500,0.687600,500.000,3.146896,3.225252,3.290592,3.147962,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,256,10,0.769667,10.000,1.683542,1.767200,1.844002,1.685510,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,256,50,0.677933,50.000,1.680146,1.773162,1.833800,1.684639,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,256,200,0.577750,200.000,1.685896,1.764927,1.831750,1.687721,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
1000000,64,32,200,256,500,0.687600,500.000,3.163479,3.284268,3.336293,3.167165,300,1150259.830,869.37,-74514432,-71.062,4,5,random,-1.00,1684.34
