vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
100000,64,16,200,16,10,0.837500,10.000,0.021166,0.037084,0.045181,0.022113,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,16,50,0.898480,50.000,0.042229,0.071708,0.084252,0.043377,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,16,200,0.913360,200.000,0.149021,0.273692,0.460761,0.161314,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,16,500,0.931592,500.000,0.212521,0.321269,0.426106,0.224310,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,32,10,0.897000,10.000,0.024666,0.037375,0.046667,0.024536,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,32,50,0.898480,50.000,0.031313,0.044095,0.052794,0.030503,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,32,200,0.913360,200.000,0.094645,0.121125,0.138835,0.095561,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,32,500,0.931592,500.000,0.184854,0.253383,0.310543,0.191590,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,64,10,0.918500,10.000,0.036458,0.052809,0.061460,0.036142,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,64,50,0.908460,50.000,0.036979,0.052313,0.062166,0.036648,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,64,200,0.913360,200.000,0.094542,0.120335,0.132356,0.095209,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,64,500,0.931592,500.000,0.185375,0.257404,0.314251,0.192048,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,128,10,0.927000,10.000,0.062521,0.080792,0.094560,0.063104,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,128,50,0.923780,50.000,0.062791,0.080921,0.092844,0.063268,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,128,200,0.913360,200.000,0.093042,0.115462,0.129892,0.093254,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,128,500,0.931592,500.000,0.183208,0.251358,0.301012,0.190390,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,256,10,0.931500,10.000,0.107000,0.138521,0.166700,0.108455,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,256,50,0.929700,50.000,0.108083,0.140463,0.168300,0.109435,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,256,200,0.922755,200.000,0.110751,0.142019,0.161999,0.111931,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,64,16,200,256,500,0.931592,500.000,0.181875,0.247807,0.308084,0.188517,1000,9700.269,10308.99,65421312,62.391,4,5,clustered,-1.00,127.70
100000,128,16,200,16,10,0.889000,10.000,0.023917,0.036297,0.046752,0.024636,1000,10677.707,9365.31,64323584,61.344,4,5,clustered,-1.00,284.75
