vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels,data_distribution,distance_comps_per_query,peak_rss_mb
100000,64,8,200,16,10,0.072100,10.000,0.021000,0.029297,0.033762,0.021700,1000,14206.220,7039.17,62341120,59.453,5,6,random,311.50,123.27
100000,64,8,200,16,50,0.145080,50.000,0.057854,0.074962,0.083262,0.059045,1000,14206.220,7039.17,62341120,59.453,5,6,random,768.32,123.27
100000,64,8,200,16,200,0.315855,200.000,0.196792,0.238486,0.263679,0.201314,1000,14206.220,7039.17,62341120,59.453,5,6,random,2419.78,123.27
100000,64,8,200,16,500,0.480314,500.000,0.463167,0.501671,0.548733,0.464993,1000,14206.220,7039.17,62341120,59.453,5,6,random,5370.35,123.27
100000,64,8,200,32,10,0.123600,10.000,0.037917,0.049791,0.056960,0.038580,1000,14206.220,7039.17,62341120,59.453,5,6,random,525.95,123.27
100000,64,8,200,32,50,0.145080,50.000,0.056792,0.072799,0.082847,0.057946,1000,14206.220,7039.17,62341120,59.453,5,6,random,768.32,123.27
100000,64,8,200,32,200,0.315855,200.000,0.196875,0.230801,0.259509,0.199974,1000,14206.220,7039.17,62341120,59.453,5,6,random,2419.78,123.27
100000,64,8,200,32,500,0.480314,500.000,0.462229,0.502779,0.539133,0.464646,1000,14206.220,7039.17,62341120,59.453,5,6,random,5370.35,123.27
100000,64,8,200,64,10,0.222300,10.000,0.072604,0.093591,0.101964,0.074019,1000,14206.220,7039.17,62341120,59.453,5,6,random,936.62,123.27
100000,64,8,200,64,50,0.176240,50.000,0.070062,0.087725,0.096130,0.071146,1000,14206.220,7039.17,62341120,59.453,5,6,random,936.62,123.27
100000,64,8,200,64,200,0.315855,200.000,0.196063,0.224835,0.239380,0.198258,1000,14206.220,7039.17,62341120,59.453,5,6,random,2419.78,123.27
100000,64,8,200,64,500,0.480314,500.000,0.461021,0.506185,0.563322,0.464516,1000,14206.220,7039.17,62341120,59.453,5,6,random,5370.35,123.27
100000,64,8,200,128,10,0.360800,10.000,0.131376,0.156885,0.168506,0.132843,1000,14206.220,7039.17,62341120,59.453,5,6,random,1667.30,123.27
100000,64,8,200,128,50,0.294440,50.000,0.140959,0.179261,0.200100,0.144235,1000,14206.220,7039.17,62341120,59.453,5,6,random,1667.30,123.27
100000,64,8,200,128,200,0.315855,200.000,0.197104,0.226715,0.243041,0.199472,1000,14206.220,7039.17,62341120,59.453,5,6,random,2419.78,123.27
100000,64,8,200,128,500,0.480314,500.000,0.476771,0.543954,0.565639,0.484514,1000,14206.220,7039.17,62341120,59.453,5,6,random,5370.35,123.27
100000,64,8,200,256,10,0.542800,10.000,0.244125,0.280879,0.300756,0.247694,1000,14206.220,7039.17,62341120,59.453,5,6,random,2990.94,123.27
100000,64,8,200,256,50,0.454640,50.000,0.262292,0.301131,0.318019,0.262335,1000,14206.220,7039.17,62341120,59.453,5,6,random,2990.94,123.27
100000,64,8,200,256,200,0.371605,200.000,0.248063,0.286314,0.309394,0.251252,1000,14206.220,7039.17,62341120,59.453,5,6,random,2990.94,123.27
100000,64,8,200,256,500,0.480314,500.000,0.491812,0.925334,1.029507,0.589588,1000,14206.220,7039.17,62341120,59.453,5,6,random,5370.35,123.27
100000,64,16,200,16,10,0.184600,10.000,0.038375,0.054929,0.061417,0.039586,1000,23654.389,4227.55,24100864,22.984,4,5,random,633.99,141.45
100000,64,16,200,16,50,0.326340,50.000,0.098084,0.121797,0.138672,0.099647,1000,23654.389,4227.55,24100864,22.984,4,5,random,1507.97,141.45
100000,64,16,200,16,200,0.585645,200.000,0.336083,0.446364,0.530059,0.349721,1000,23654.389,4227.55,24100864,22.984,4,5,random,4675.94,141.45
100000,64,16,200,16,500,0.767134,500.000,0.840584,1.610077,1.738840,1.001714,1000,23654.389,4227.55,24100864,22.984,4,5,random,10352.60,141.45
100000,64,16,200,32,10,0.312900,10.000,0.094958,0.143210,0.177843,0.099591,1000,23654.389,4227.55,24100864,22.984,4,5,random,1072.50,141.45
100000,64,16,200,32,50,0.326340,50.000,0.109062,0.154254,0.181345,0.112681,1000,23654.389,4227.55,24100864,22.984,4,5,random,1507.97,141.45
100000,64,16,200,32,200,0.585645,200.000,0.342229,0.439276,0.514178,0.355934,1000,23654.389,4227.55,24100864,22.984,4,5,random,4675.94,141.45
100000,64,16,200,32,500,0.767134,500.000,0.986521,1.551136,1.698739,1.028349,1000,23654.389,4227.55,24100864,22.984,4,5,random,10352.60,141.45
100000,64,16,200,64,10,0.473000,10.000,0.122895,0.152254,0.177752,0.125705,1000,23654.389,4227.55,24100864,22.984,4,5,random,1834.90,141.45
100000,64,16,200,64,50,0.382240,50.000,0.133479,0.227484,0.299175,0.147632,1000,23654.389,4227.55,24100864,22.984,4,5,random,1834.90,141.45
100000,64,16,200,64,200,0.585645,200.000,0.505563,0.759307,0.844980,0.505642,1000,23654.389,4227.55,24100864,22.984,4,5,random,4675.94,141.45
100000,64,16,200,64,500,0.767134,500.000,0.793395,0.991287,1.088034,0.828799,1000,23654.389,4227.55,24100864,22.984,4,5,random,10352.60,141.45
100000,64,16,200,128,10,0.666000,10.000,0.220292,0.246838,0.263172,0.221967,1000,23654.389,4227.55,24100864,22.984,4,5,random,3206.03,141.45
100000,64,16,200,128,50,0.563660,50.000,0.221125,0.261260,0.295479,0.225449,1000,23654.389,4227.55,24100864,22.984,4,5,random,3206.03,141.45
100000,64,16,200,128,200,0.585645,200.000,0.331437,0.357625,0.374960,0.332593,1000,23654.389,4227.55,24100864,22.984,4,5,random,4675.94,141.45
100000,64,16,200,128,500,0.767134,500.000,0.769646,0.825881,0.916905,0.774726,1000,23654.389,4227.55,24100864,22.984,4,5,random,10352.60,141.45
100000,64,16,200,256,10,0.845300,10.000,0.409376,0.442131,0.492630,0.411605,1000,23654.389,4227.55,24100864,22.984,4,5,random,5795.50,141.45
100000,64,16,200,256,50,0.759740,50.000,0.409750,0.448186,0.481116,0.412241,1000,23654.389,4227.55,24100864,22.984,4,5,random,5795.50,141.45
100000,64,16,200,256,200,0.656635,200.000,0.414563,0.450848,0.477510,0.415740,1000,23654.389,4227.55,24100864,22.984,4,5,random,5795.50,141.45
100000,64,16,200,256,500,0.767134,500.000,0.776417,0.886579,0.930294,0.788833,1000,23654.389,4227.55,24100864,22.984,4,5,random,10352.60,141.45
100000,64,32,200,16,10,0.356500,10.000,0.063063,0.085690,0.094739,0.064672,1000,34810.847,2872.67,49905664,47.594,3,4,random,1212.73,189.06
100000,64,32,200,16,50,0.552920,50.000,0.161542,0.193750,0.216421,0.163610,1000,34810.847,2872.67,49905664,47.594,3,4,random,2801.05,189.06
100000,64,32,200,16,200,0.820435,200.000,0.537208,0.583471,0.663822,0.540538,1000,34810.847,2872.67,49905664,47.594,3,4,random,8750.92,189.06
100000,64,32,200,16,500,0.936388,500.000,1.202167,1.302925,1.488315,1.211478,1000,34810.847,2872.67,49905664,47.594,3,4,random,18465.58,189.06
100000,64,32,200,32,10,0.535400,10.000,0.109667,0.136677,0.150672,0.111626,1000,34810.847,2872.67,49905664,47.594,3,4,random,2007.42,189.06
100000,64,32,200,32,50,0.552920,50.000,0.158312,0.189296,0.213216,0.160696,1000,34810.847,2872.67,49905664,47.594,3,4,random,2801.05,189.06
