round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.581665,0.202690
1,20,0.554817,0.196202
2,30,0.578638,0.190024
3,40,0.534039,0.184641
4,50,0.548982,0.178345
5,60,0.558605,0.172025
6,70,0.548904,0.165232
7,80,0.531601,0.159196
8,90,0.525291,0.154668
9,100,0.542619,0.149187
10,110,0.533377,0.143871
11,120,0.526661,0.140029
12,130,0.527760,0.135657
13,140,0.547356,0.131262
14,150,0.533016,0.127474
15,160,0.530311,0.124436
16,170,0.555109,0.121567
17,180,0.542031,0.118733
18,190,0.531984,0.115997
19,200,0.509622,0.113466
