round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,100000,0.514340,0.086458,0.442039,116356.197847,0.213980,0.340420,0.267250,0.000000,0.000000
1,100000,0.315200,0.187133,0.200861,156924.357093,0.268640,0.254480,0.237860,0.000000,0.000000
2,100000,0.472380,0.106595,0.326007,144898.510651,0.207920,0.321530,0.260900,0.000000,0.000000
3,100000,0.254107,0.214971,0.253950,100061.595416,0.323270,0.247770,0.229100,0.000000,0.000000
4,100000,0.313391,0.189837,0.341384,91800.263095,0.299070,0.263180,0.236820,0.000000,0.000000
5,100000,0.367621,0.154840,0.410245,89609.944870,0.254140,0.284210,0.244700,0.000000,0.000000
6,100000,0.337968,0.158688,0.316838,106668.823550,0.250310,0.283220,0.240770,0.000000,0.000000
7,100000,0.267140,0.198950,0.258397,103383.693411,0.296110,0.267690,0.235270,0.000000,0.000000
8,100000,0.283695,0.178777,0.285972,99203.682812,0.254630,0.256030,0.237050,0.000000,0.000000
9,100000,0.372031,0.131550,0.425661,87400.774246,0.224590,0.292230,0.247730,0.000000,0.000000
10,100000,0.277895,0.179502,0.299052,92925.244003,0.263120,0.267000,0.234450,0.000000,0.000000
11,100000,0.264503,0.194587,0.288705,91617.170843,0.291540,0.278040,0.233300,0.000000,0.000000
12,100000,0.246522,0.205385,0.266860,92378.939271,0.294670,0.256880,0.230680,0.000000,0.000000
13,100000,0.335595,0.164314,0.399005,84107.905753,0.245490,0.267420,0.242540,0.000000,0.000000
14,100000,0.286656,0.185165,0.265720,107879.000683,0.255700,0.266010,0.233900,0.000000,0.000000
15,100000,0.308066,0.170953,0.275570,111792.386870,0.253600,0.270670,0.237810,0.000000,0.000000
16,100000,0.420630,0.116969,0.322117,130583.001959,0.222110,0.301380,0.254350,0.000000,0.000000
17,100000,0.394781,0.133174,0.393377,100356.805102,0.221760,0.299580,0.250590,0.000000,0.000000
18,100000,0.349160,0.150281,0.339122,102959.867894,0.236620,0.288290,0.242700,0.000000,0.000000
19,100000,0.185035,0.230123,0.147246,125663.296886,0.307530,0.243040,0.226730,0.000000,0.000000
