round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.612167,0.232904
1,20,0.607863,0.230065
2,30,0.605720,0.229647
3,40,0.605687,0.226564
4,50,0.600999,0.221364
5,60,0.595563,0.215435
6,70,0.595111,0.209151
7,80,0.592572,0.202293
8,90,0.589318,0.195340
9,100,0.585547,0.188610
10,110,0.584385,0.182617
11,120,0.582131,0.177074
12,130,0.578420,0.172138
13,140,0.576897,0.167335
14,150,0.575070,0.162623
15,160,0.572852,0.158205
16,170,0.569290,0.154338
17,180,0.566487,0.150942
18,190,0.563549,0.147637
19,200,0.561431,0.144700
