round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,2.081224,83.119518,0.048510,0.911210,0.373890,0.132370,0.031110,8.669267,0.612167,5.307044,0.165284
1,100000,2.068303,84.084303,0.051460,0.904400,0.357090,0.132700,0.033590,6.890374,0.607863,4.188401,0.159724
2,100000,2.106723,85.679718,0.051490,0.905170,0.346760,0.130710,0.036540,6.484664,0.605720,3.927888,0.166614
3,100000,2.098213,92.061986,0.052070,0.904770,0.340060,0.128580,0.036370,6.409846,0.605687,3.882360,0.165487
4,100000,2.054898,89.790530,0.054690,0.900450,0.333260,0.127520,0.034260,6.547931,0.600999,3.935300,0.159941
5,100000,2.015757,84.826906,0.058550,0.894800,0.331110,0.128920,0.031790,6.568144,0.595563,3.911741,0.152194
6,100000,2.003702,81.706129,0.056510,0.896620,0.331110,0.126700,0.029460,6.505758,0.595111,3.871648,0.146120
7,100000,2.007252,79.398000,0.058380,0.895390,0.329110,0.126760,0.029920,6.518055,0.592572,3.862417,0.140626
8,100000,1.989228,75.772249,0.058750,0.894090,0.323030,0.125760,0.028120,6.485505,0.589318,3.822023,0.135745
9,100000,1.969313,75.067508,0.060330,0.892120,0.314300,0.125660,0.026370,6.552221,0.585547,3.836635,0.131611
10,100000,1.938930,75.517724,0.061850,0.890210,0.315880,0.125220,0.025450,6.510841,0.584385,3.804839,0.128722
11,100000,1.914769,76.405365,0.063280,0.885440,0.315430,0.121540,0.024310,6.524434,0.582131,3.798077,0.126664
12,100000,1.885893,76.614012,0.067290,0.880490,0.311410,0.123530,0.024340,6.515507,0.578420,3.768698,0.125149
13,100000,1.876009,76.103812,0.067420,0.879210,0.309760,0.120540,0.023530,6.537657,0.576897,3.771555,0.123584
14,100000,1.865138,75.290996,0.068100,0.877470,0.306780,0.121050,0.022570,6.532532,0.575070,3.756661,0.121338
15,100000,1.851324,74.578431,0.069890,0.876610,0.304840,0.119980,0.022220,6.510417,0.572852,3.729508,0.119811
16,100000,1.830352,73.557664,0.071030,0.873370,0.296970,0.119460,0.021080,6.534666,0.569290,3.720118,0.118837
17,100000,1.808279,72.298701,0.073880,0.869190,0.297040,0.120650,0.021720,6.540650,0.566487,3.705190,0.118056
18,100000,1.794255,70.845701,0.075020,0.867140,0.295100,0.116950,0.021010,6.517205,0.563549,3.672762,0.117353
19,100000,1.782016,69.228915,0.075780,0.865090,0.292890,0.116770,0.020470,6.524860,0.561431,3.663259,0.116737
