round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,100000,0.936419,0.000143,0.675956,138532.529824,0.140830,0.419170,0.326980,0.000000,0.000000
1,100000,0.919660,0.000247,0.656242,140140.505586,0.148630,0.428150,0.332180,0.000000,0.000000
2,100000,0.884246,0.000737,0.619222,142799.529520,0.140070,0.430560,0.332420,0.000000,0.000000
3,100000,0.865246,0.001085,0.563911,153436.644082,0.141580,0.428660,0.330730,0.000000,0.000000
4,100000,0.852811,0.001413,0.569867,149650.883459,0.138410,0.431640,0.329960,0.000000,0.000000
5,100000,0.843948,0.001668,0.596944,141378.176438,0.136840,0.430070,0.323520,0.000000,0.000000
6,100000,0.836907,0.001944,0.614574,136176.882192,0.140440,0.427080,0.323780,0.000000,0.000000
7,100000,0.827953,0.002298,0.625673,132330.000671,0.143080,0.428530,0.323500,0.000000,0.000000
8,100000,0.816305,0.002569,0.646389,126287.080896,0.139340,0.433580,0.318350,0.000000,0.000000
9,100000,0.804656,0.003205,0.643146,125112.513512,0.137000,0.431760,0.317890,0.000000,0.000000
10,100000,0.793517,0.003754,0.630462,125862.873027,0.137560,0.429320,0.314490,0.000000,0.000000
11,100000,0.783305,0.004252,0.615118,127342.275012,0.134360,0.426030,0.314870,0.000000,0.000000
12,100000,0.772909,0.004956,0.605301,127690.019718,0.137280,0.422310,0.312010,0.000000,0.000000
13,100000,0.765823,0.005379,0.603773,126839.687024,0.135910,0.418580,0.309030,0.000000,0.000000
14,100000,0.758557,0.006011,0.604501,125484.993987,0.137000,0.418530,0.307860,0.000000,0.000000
15,100000,0.751132,0.006563,0.604302,124297.385191,0.138610,0.416910,0.306530,0.000000,0.000000
16,100000,0.741218,0.007212,0.604602,122596.107252,0.134280,0.418000,0.306530,0.000000,0.000000
17,100000,0.731403,0.008075,0.606984,120497.834167,0.131940,0.416250,0.306430,0.000000,0.000000
18,100000,0.722016,0.008825,0.611483,118076.167617,0.133760,0.411720,0.304290,0.000000,0.000000
19,100000,0.713995,0.009439,0.618812,115381.525669,0.130670,0.410550,0.301980,0.000000,0.000000
