round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.519521,0.201058
1,20,0.535138,0.194191
2,30,0.552205,0.188459
3,40,0.542200,0.182650
4,50,0.534755,0.176682
5,60,0.537251,0.171634
6,70,0.525581,0.165917
7,80,0.530373,0.159981
8,90,0.530149,0.154964
9,100,0.523331,0.150628
10,110,0.525105,0.146122
11,120,0.531850,0.141944
12,130,0.542773,0.137011
13,140,0.539133,0.132702
14,150,0.539287,0.131767
15,160,0.537903,0.128147
16,170,0.520715,0.125625
17,180,0.551651,0.121699
18,190,0.540925,0.119179
19,200,0.535535,0.119590
