round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,1.536527,60.767138,0.093840,0.844580,0.186940,0.111550,0.012460,8.638563,0.519521,4.487913,0.102444
1,100000,1.602120,61.465487,0.092030,0.844600,0.262610,0.113530,0.013920,6.891799,0.535138,3.688060,0.095151
2,100000,1.665571,50.508237,0.073520,0.880560,0.279400,0.118180,0.013780,6.444545,0.552205,3.558712,0.094661
3,100000,1.679694,49.012247,0.081560,0.859160,0.268920,0.114020,0.013190,6.411489,0.542200,3.476307,0.092173
4,100000,1.635550,45.652819,0.083630,0.863810,0.241190,0.114240,0.013710,6.580679,0.534755,3.519048,0.090839
5,100000,1.655677,55.445641,0.086250,0.850560,0.238580,0.112980,0.013710,6.569007,0.537251,3.529206,0.092094
6,100000,1.585309,53.001329,0.094250,0.838350,0.224840,0.111890,0.013970,6.509145,0.525581,3.421080,0.089701
7,100000,1.597170,53.349975,0.089200,0.852070,0.242310,0.114450,0.012860,6.488451,0.530373,3.441300,0.087695
8,100000,1.598158,50.654585,0.091080,0.848540,0.244620,0.113170,0.012860,6.556947,0.530149,3.476160,0.088136
9,100000,1.591346,50.782138,0.095380,0.834850,0.237030,0.111570,0.013860,6.531679,0.523331,3.418231,0.087341
10,100000,1.598936,47.530998,0.091970,0.841670,0.226290,0.114040,0.014150,6.519755,0.525105,3.423559,0.086695
11,100000,1.641609,50.802017,0.089120,0.845990,0.247240,0.113860,0.013140,6.496881,0.531850,3.455369,0.086934
12,100000,1.716731,41.946220,0.078620,0.868930,0.278160,0.116480,0.013280,6.522732,0.542773,3.540363,0.084087
13,100000,1.667790,52.434388,0.079800,0.867770,0.260030,0.115790,0.013580,6.521881,0.539133,3.516159,0.083348
14,100000,1.636979,50.795662,0.081010,0.867580,0.263310,0.114690,0.014370,6.520180,0.539287,3.516249,0.087296
15,100000,1.626194,60.961954,0.086800,0.850710,0.251130,0.114600,0.013120,6.522732,0.537903,3.508599,0.084627
16,100000,1.557090,66.675822,0.106380,0.813700,0.230660,0.108390,0.012590,6.534666,0.520715,3.402700,0.083804
17,100000,1.689266,67.960481,0.081310,0.861500,0.268310,0.112950,0.013560,6.543646,0.551651,3.609807,0.082904
18,100000,1.625803,81.481613,0.095300,0.830510,0.259020,0.112030,0.013230,6.494350,0.540925,3.512954,0.083542
19,100000,1.594513,79.451994,0.099050,0.827550,0.252810,0.110170,0.014010,6.521881,0.535535,3.492699,0.084571
