round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,100000,0.646488,0.018373,0.638326,101278.564052,0.108410,0.497680,0.287040,0.000000,0.000000
1,100000,0.635691,0.020514,0.620535,102442.478951,0.116570,0.422480,0.283930,0.000000,0.000000
2,100000,0.655869,0.017434,0.779124,84180.394443,0.126600,0.409340,0.288360,0.000000,0.000000
3,100000,0.637845,0.020185,0.780839,81687.077860,0.129420,0.433760,0.286020,0.000000,0.000000
4,100000,0.635115,0.019454,0.834711,76088.032407,0.105020,0.450950,0.291850,0.000000,0.000000
5,100000,0.680376,0.014553,0.736263,92409.401320,0.115560,0.467970,0.293930,0.000000,0.000000
6,100000,0.658439,0.014407,0.745384,88335.547914,0.104130,0.460760,0.289130,0.000000,0.000000
7,100000,0.659348,0.015113,0.741536,88916.625584,0.107490,0.443560,0.289580,0.000000,0.000000
8,100000,0.659809,0.015578,0.781540,84424.308626,0.109390,0.440800,0.286690,0.000000,0.000000
9,100000,0.670615,0.015140,0.792343,84636.896743,0.114140,0.460280,0.289680,0.000000,0.000000
10,100000,0.668222,0.015347,0.843520,79218.330612,0.118950,0.474800,0.288710,0.000000,0.000000
11,100000,0.653861,0.016802,0.772246,84670.028786,0.120610,0.440000,0.289420,0.000000,0.000000
12,100000,0.655761,0.016152,0.938003,69910.367380,0.130790,0.433160,0.288070,0.000000,0.000000
13,100000,0.644739,0.017140,0.737766,87390.645924,0.120230,0.440230,0.289170,0.000000,0.000000
14,100000,0.633633,0.019576,0.748449,84659.437215,0.114880,0.430410,0.285350,0.000000,0.000000
15,100000,0.666477,0.016328,0.655961,101603.257436,0.121110,0.446300,0.289600,0.000000,0.000000
16,100000,0.662361,0.016959,0.596043,111126.370663,0.118810,0.456520,0.289610,0.000000,0.000000
17,100000,0.657905,0.018901,0.580842,113267.469024,0.126050,0.442330,0.286490,0.000000,0.000000
18,100000,0.647610,0.019488,0.476876,135802.687641,0.118420,0.427990,0.287030,0.000000,0.000000
19,100000,0.629886,0.019978,0.475673,132419.990187,0.117860,0.430210,0.283390,0.000000,0.000000
