round,interactions_per_user,mean_reward_per_impression,mean_estimated_hidden_cosine
0,10,0.495198,0.203887
1,20,0.519133,0.198031
2,30,0.499129,0.193191
3,40,0.497471,0.188165
4,50,0.516071,0.182648
5,60,0.520265,0.177196
6,70,0.510136,0.172098
7,80,0.492749,0.167417
8,90,0.509727,0.162880
9,100,0.515945,0.157641
10,110,0.513845,0.152442
11,120,0.504780,0.148322
12,130,0.501329,0.143858
13,140,0.502241,0.139125
14,150,0.495082,0.135389
15,160,0.489578,0.132003
16,170,0.494006,0.128503
17,180,0.498391,0.124805
18,190,0.502291,0.121225
19,200,0.510327,0.117871
