round,impressions,mean_watch_ratio,mean_watch_seconds,instant_skip_rate,completion_rate,like_rate,share_rate,follow_rate,mean_session_length,reward_per_impression,reward_per_session,mean_true_affinity
0,100000,1.497388,65.617171,0.104490,0.784110,0.238770,0.094230,0.013050,8.626639,0.495198,4.271895,0.115994
1,100000,1.548307,84.368446,0.106630,0.796050,0.266340,0.100070,0.013820,6.905124,0.519133,3.584680,0.111615
2,100000,1.484781,65.818233,0.093050,0.727630,0.244030,0.086640,0.012760,6.437906,0.499129,3.213348,0.107355
3,100000,1.538327,59.117407,0.099250,0.777570,0.259140,0.090990,0.012870,6.402459,0.497471,3.185040,0.105051
4,100000,1.557669,55.824230,0.092620,0.808160,0.255800,0.100600,0.012800,6.535948,0.516071,3.373012,0.102761
5,100000,1.610331,69.425297,0.080520,0.795610,0.244760,0.096010,0.013680,6.624710,0.520265,3.446606,0.101072
6,100000,1.591091,74.336540,0.090290,0.787780,0.253150,0.092750,0.015240,6.512113,0.510136,3.322063,0.099515
7,100000,1.555927,73.871686,0.091640,0.758960,0.242110,0.085490,0.015150,6.537657,0.492749,3.221427,0.098854
8,100000,1.565811,75.622867,0.088070,0.773380,0.253130,0.090470,0.015560,6.482562,0.509727,3.304336,0.098999
9,100000,1.567073,81.304328,0.100010,0.788770,0.262860,0.096570,0.015520,6.532532,0.515945,3.370426,0.096977
10,100000,1.578674,82.767915,0.101780,0.795720,0.268750,0.098430,0.013820,6.540222,0.513845,3.360662,0.095443
11,100000,1.559465,75.483943,0.098310,0.783970,0.263940,0.092360,0.012620,6.528267,0.504780,3.295337,0.094303
12,100000,1.550986,72.442934,0.100850,0.779910,0.263970,0.092810,0.013110,6.509145,0.501329,3.263221,0.093556
13,100000,1.541209,64.804005,0.104530,0.783640,0.261800,0.095720,0.012680,6.529973,0.502241,3.279622,0.092083
14,100000,1.518913,61.824184,0.110640,0.775980,0.250400,0.091800,0.012300,6.518480,0.495082,3.227179,0.090788
15,100000,1.510170,58.974318,0.110350,0.774540,0.242470,0.091970,0.012220,6.499838,0.489578,3.182178,0.090667
16,100000,1.522622,58.510015,0.103930,0.777970,0.238290,0.094430,0.012980,6.551792,0.494006,3.236622,0.089723
17,100000,1.525048,61.820560,0.098810,0.779800,0.237330,0.093360,0.012080,6.525285,0.498391,3.252146,0.088380
18,100000,1.546458,67.365933,0.098970,0.787300,0.246630,0.094270,0.012000,6.528694,0.502291,3.279304,0.087165
19,100000,1.581360,71.821740,0.093300,0.798380,0.257510,0.095790,0.012010,6.527841,0.510327,3.331334,0.085781
