round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,100000,0.325984,0.133951,0.298078,109361.951282,0.188010,0.292060,0.251310,0.000000,0.000000
1,100000,0.467157,0.074401,0.332226,140614.076068,0.140330,0.314370,0.265720,0.000000,0.000000
2,100000,0.302567,0.156472,0.275820,109697.055014,0.223510,0.238600,0.242390,0.000000,0.000000
3,100000,0.278291,0.146238,0.282446,98529.011865,0.194760,0.235890,0.236390,0.000000,0.000000
4,100000,0.410705,0.094975,0.441426,93040.382810,0.164560,0.307890,0.255550,0.000000,0.000000
5,100000,0.354540,0.142089,0.306407,115708.828715,0.211920,0.298220,0.244800,0.000000,0.000000
6,100000,0.325765,0.158409,0.262938,123894.234143,0.233480,0.283730,0.243200,0.000000,0.000000
7,100000,0.227349,0.208828,0.184658,123119.476738,0.272670,0.247210,0.232850,0.000000,0.000000
8,100000,0.327879,0.158531,0.260143,126038.112224,0.219700,0.277370,0.243470,0.000000,0.000000
9,100000,0.406203,0.105163,0.299765,135507.213423,0.172290,0.301120,0.254420,0.000000,0.000000
10,100000,0.387420,0.108174,0.280848,137946.524863,0.176650,0.292240,0.247410,0.000000,0.000000
11,100000,0.326497,0.143210,0.259523,125806.571090,0.193650,0.267260,0.243220,0.000000,0.000000
12,100000,0.332041,0.144470,0.275009,120738.223561,0.194520,0.268620,0.240930,0.000000,0.000000
13,100000,0.388699,0.112896,0.359884,108006.674307,0.171810,0.287020,0.250300,0.000000,0.000000
14,100000,0.382016,0.115006,0.370744,103040.306471,0.172230,0.296300,0.250140,0.000000,0.000000
15,100000,0.363378,0.126738,0.369698,98290.530082,0.184190,0.302540,0.247630,0.000000,0.000000
16,100000,0.374575,0.129969,0.384114,97516.691131,0.188060,0.315480,0.250400,0.000000,0.000000
17,100000,0.375542,0.132295,0.364483,103034.265910,0.188160,0.315110,0.250730,0.000000,0.000000
18,100000,0.372347,0.133751,0.331634,112276.554664,0.195180,0.310900,0.250330,0.000000,0.000000
19,100000,0.377461,0.131177,0.315332,119702.900265,0.198830,0.307310,0.253080,0.000000,0.000000
