round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,8425,0,183.045935,155.000000,5.516439,0.460267,0.107362,0.738066,0.072760,0.085816,0.386090,0.000000,613,723,6747,342,0
1,7215,0,330347.842412,105.000000,6.466944,0.000225,0.000047,0.593043,0.100762,0.106168,0.375484,0.000000,727,766,5440,282,0
2,6855,0,388872.115390,119.000000,6.217651,0.000143,0.000042,0.267454,0.099635,0.095842,0.378226,0.000000,683,657,5250,265,0
3,6461,0,468113.446061,168.000000,6.178610,0.000121,0.000037,0.277398,0.096270,0.103390,0.373002,0.000000,622,668,4897,273,1
4,6437,0,570958.532546,205.000000,6.109523,0.000090,0.000037,0.106208,0.104863,0.094765,0.380250,0.000000,675,610,4919,232,1
5,6150,0,595387.894472,231.000000,6.166829,0.000096,0.000034,0.220234,0.099350,0.085691,0.391327,0.000000,611,527,4792,220,0
6,5714,0,669158.439797,302.500000,6.228561,0.000092,0.000030,0.329674,0.087679,0.095905,0.384004,0.000000,501,548,4468,197,0
7,6000,0,746111.699833,1077464.000000,6.281333,0.000080,0.000030,0.219950,0.105833,0.086500,0.381858,0.000000,635,519,4591,255,0
8,5972,0,786792.631112,423.000000,6.079538,0.000066,0.000034,-0.034685,0.137475,0.080877,0.376968,0.000000,821,483,4468,199,1
9,5498,0,864646.518188,558.000000,6.113678,0.000065,0.000027,0.140023,0.108039,0.086213,0.384648,0.000000,594,474,4209,221,0
10,5584,0,975667.561605,1277355.000000,6.228331,0.000065,0.000023,0.304006,0.092228,0.079692,0.393556,0.000000,515,445,4417,207,0
11,5576,0,950249.515782,1100390.000000,6.083572,0.000058,0.000028,-0.006343,0.137016,0.083572,0.384878,0.000000,764,466,4146,200,0
12,5729,0,857880.196718,978115.000000,5.990923,0.000053,0.000037,-0.257827,0.152906,0.076104,0.375117,0.000000,876,436,4217,197,3
13,5585,0,786098.600895,989362.000000,5.947538,0.000060,0.000039,-0.210319,0.145927,0.090600,0.377349,0.000000,815,506,4087,175,2
14,5292,0,751750.313114,868142.500000,5.974868,0.000072,0.000034,0.061150,0.112434,0.095238,0.389068,0.000000,595,504,4019,174,0
15,5201,0,771789.242646,853276.000000,6.134974,0.000076,0.000030,0.203870,0.099212,0.093059,0.384915,0.000000,516,484,3984,217,0
16,5061,0,897998.545347,964636.000000,6.170520,0.000069,0.000027,0.233327,0.105513,0.090298,0.380368,0.000000,534,457,3866,203,1
17,5035,0,952583.438332,933007.000000,6.256405,0.000078,0.000019,0.589216,0.076266,0.081629,0.395044,0.000000,384,411,4049,191,0
18,5151,0,936689.537760,896104.000000,6.401864,0.000077,0.000019,0.530509,0.084061,0.077655,0.400951,0.000000,433,400,4109,209,0
19,5110,4890,872829.855773,863698.000000,6.220157,0.000074,0.000022,0.366341,0.097652,0.091585,0.388978,0.000000,499,468,3954,189,0
