round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,62226,0.263354,0.053154,0.483936,33862.877545,0.159821,0.316893,0.273969,0.386090,0.000000
1,49570,0.188269,0.036174,0.509754,18307.797157,0.150293,0.289126,0.272544,0.375484,0.000000
2,43634,0.147799,0.045881,0.434551,14840.703980,0.139960,0.264289,0.271967,0.378226,0.000000
3,41188,0.156494,0.050241,0.376510,17119.544155,0.133583,0.261994,0.271026,0.373002,0.000000
4,39402,0.131835,0.061448,0.307194,16909.757550,0.121441,0.264225,0.266890,0.380250,0.000000
5,38649,0.175076,0.049498,0.380140,17800.013643,0.146834,0.284742,0.273021,0.391327,0.000000
6,38157,0.192564,0.049690,0.437675,16787.977602,0.138507,0.314936,0.272034,0.384004,0.000000
7,36342,0.135900,0.070563,0.294568,16766.566830,0.150515,0.280282,0.273788,0.381858,0.000000
8,35105,0.131524,0.077833,0.230169,20059.812638,0.164421,0.276058,0.259479,0.376968,0.000000
9,35754,0.178535,0.055106,0.303345,21043.193896,0.135397,0.285562,0.267495,0.384648,0.000000
10,35069,0.181687,0.058847,0.322933,19730.421737,0.133708,0.307080,0.274288,0.393556,0.000000
11,33464,0.135865,0.084312,0.265963,17094.802762,0.162862,0.289595,0.269005,0.384878,0.000000
12,33299,0.089681,0.106407,0.194261,15372.642916,0.178354,0.255773,0.262350,0.375117,0.000000
13,33259,0.150583,0.078016,0.316474,15825.106537,0.154033,0.280375,0.268078,0.377349,0.000000
14,33222,0.171215,0.054449,0.432996,13136.589602,0.157125,0.292728,0.269580,0.389068,0.000000
15,32820,0.181839,0.053907,0.409940,14558.112626,0.141194,0.300518,0.276447,0.384915,0.000000
16,32098,0.185587,0.059631,0.327143,18209.082742,0.152502,0.303788,0.278740,0.380368,0.000000
17,32673,0.203249,0.045656,0.474470,13996.120736,0.142319,0.330854,0.281119,0.395044,0.000000
18,32411,0.170427,0.054232,0.418871,13187.134147,0.149085,0.325013,0.272438,0.400951,0.000000
19,31333,0.169846,0.051220,0.363976,14621.233493,0.166374,0.311812,0.278237,0.388978,0.000000
