round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,8425,0,183.045935,155.000000,5.516439,0.460267,0.107362,0.738066,0.072760,0.085816,0.386090,0.000000,613,723,6747,342,0
1,7303,0,324185.327947,108.000000,6.424072,0.000242,0.000044,0.682311,0.097768,0.095988,0.383790,0.000000,714,701,5607,281,0
2,7461,0,400330.284546,142.000000,6.342447,0.000146,0.000041,0.294101,0.106554,0.083635,0.389127,0.000000,795,624,5764,277,1
3,6786,0,419559.755084,157.000000,6.313145,0.000167,0.000034,0.609679,0.062334,0.102269,0.388892,0.000000,423,694,5377,292,0
4,6777,0,497366.336727,176.000000,6.573853,0.000149,0.000031,0.671853,0.057105,0.095913,0.392167,0.000000,387,650,5478,262,0
5,6446,0,546777.090133,257.500000,6.585169,0.000128,0.000027,0.590352,0.067794,0.096649,0.390879,0.000000,437,623,5156,230,0
6,6742,0,670430.501187,277.000000,6.269208,0.000084,0.000035,0.117690,0.117769,0.084248,0.385795,0.000000,794,568,5138,240,2
7,6122,0,677696.612055,251.000000,6.124306,0.000090,0.000032,0.278609,0.093270,0.100621,0.381928,0.000000,571,616,4676,259,0
8,5925,0,765933.932489,494.000000,6.273755,0.000080,0.000027,0.297458,0.094008,0.091646,0.387507,0.000000,557,543,4595,227,3
9,6060,0,789587.858911,1086749.500000,6.263366,0.000075,0.000029,0.197024,0.110066,0.082508,0.383357,0.000000,667,500,4685,208,0
10,5874,0,756117.801498,1069130.000000,5.965611,0.000061,0.000038,-0.202845,0.154920,0.081035,0.374242,0.000000,910,476,4275,212,1
11,6379,0,718264.761561,938050.000000,5.639128,0.000041,0.000056,-0.770470,0.206929,0.071485,0.373790,0.000000,1320,456,4404,197,2
12,5345,0,631039.906268,898152.000000,5.711132,0.000068,0.000055,-0.348892,0.149111,0.096165,0.373368,0.000000,797,514,3853,177,4
13,5402,0,685501.457608,900312.500000,5.978897,0.000086,0.000036,0.179061,0.101629,0.091448,0.390225,0.000000,549,494,4175,184,0
14,5646,0,807643.773291,951171.500000,6.109281,0.000071,0.000030,0.121484,0.115480,0.078286,0.392792,0.000000,652,442,4343,209,0
15,5303,0,835065.936262,1020212.000000,6.026023,0.000066,0.000027,0.128173,0.113521,0.093909,0.381898,0.000000,602,498,3998,205,0
16,5347,0,825332.616607,959990.000000,5.950814,0.000067,0.000027,0.116165,0.125117,0.088835,0.382962,0.000000,669,475,4003,199,1
17,5182,0,806920.371285,829562.000000,6.075839,0.000069,0.000029,0.119728,0.115592,0.077576,0.388211,0.000000,599,402,3989,191,1
18,5094,0,813972.713192,825314.500000,6.155281,0.000075,0.000026,0.295408,0.091480,0.089713,0.394204,0.000000,466,457,3983,188,0
19,4862,5138,876570.918963,929690.500000,6.277869,0.000080,0.000023,0.467828,0.085356,0.090909,0.394041,0.000000,415,442,3810,195,0
