round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,62226,0.263354,0.053154,0.483936,33862.877545,0.159821,0.316893,0.273969,0.386090,0.000000
1,49619,0.200972,0.030957,0.536207,18597.351664,0.156956,0.304097,0.272335,0.383790,0.000000
2,45001,0.138000,0.050337,0.357681,17362.185678,0.137041,0.270372,0.267861,0.389127,0.000000
3,45961,0.206620,0.035774,0.504342,18829.442660,0.134048,0.280107,0.277735,0.388892,0.000000
4,44418,0.186971,0.040867,0.545967,15211.281162,0.126255,0.313049,0.278986,0.392167,0.000000
5,43117,0.185934,0.032194,0.405593,19765.889684,0.128093,0.297586,0.280771,0.390879,0.000000
6,39878,0.126639,0.078113,0.236470,21356.275276,0.151011,0.280355,0.266287,0.385795,0.000000
7,40002,0.187984,0.050982,0.376372,19979.566409,0.143418,0.297410,0.269187,0.381928,0.000000
8,38092,0.182874,0.050833,0.365693,19048.803951,0.134044,0.313609,0.274887,0.387507,0.000000
9,36356,0.132064,0.071103,0.284752,16861.423183,0.160579,0.271785,0.274315,0.383357,0.000000
10,34823,0.126780,0.085852,0.239223,18455.058760,0.170232,0.277489,0.265686,0.374242,0.000000
11,32914,0.039319,0.151649,0.089117,14522.027567,0.210640,0.251656,0.248526,0.373790,0.000000
12,33642,0.183204,0.076093,0.444487,13866.222023,0.160454,0.284941,0.270584,0.373368,0.000000
13,34062,0.185000,0.048532,0.426964,14758.802378,0.152868,0.296636,0.273208,0.390225,0.000000
14,33237,0.129729,0.076044,0.267320,16129.769634,0.166441,0.305894,0.271444,0.392792,0.000000
15,32896,0.174701,0.050729,0.365603,15719.094185,0.145306,0.292984,0.272374,0.381898,0.000000
16,31839,0.141531,0.063167,0.315654,14275.713922,0.154527,0.283709,0.270266,0.382962,0.000000
17,32024,0.162269,0.068830,0.411136,12639.362074,0.158631,0.282038,0.272140,0.388211,0.000000
18,31776,0.182139,0.049469,0.408065,14183.172350,0.158264,0.307244,0.279425,0.394204,0.000000
19,31992,0.212326,0.047949,0.457586,14844.722939,0.135909,0.320049,0.277569,0.394041,0.000000
