round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,9634,0,170.360598,105.000000,5.373884,0.238113,0.084274,0.082284,0.075462,0.069649,0.407185,0.000000,727,671,7930,306,0
1,7645,0,69359.649836,103.000000,4.984696,0.000438,0.000214,-0.253663,0.165075,0.111969,0.363936,0.000000,1262,856,5262,265,0
2,7284,0,294408.955519,107.000000,5.391818,0.000067,0.000046,-0.326750,0.119440,0.089511,0.385158,0.000000,870,652,5507,255,0
3,6704,0,356338.881862,147.000000,5.342780,0.000044,0.000043,-0.426129,0.123210,0.101879,0.362700,0.000000,826,683,4965,230,0
4,6556,0,429207.989323,178.000000,5.539353,0.000051,0.000035,-0.278013,0.101281,0.089384,0.378805,0.000000,664,586,5083,223,0
5,6367,0,471535.707555,220.000000,5.621329,0.000050,0.000030,-0.220428,0.092822,0.108371,0.371865,0.000000,591,690,4871,215,0
6,6249,0,507880.562650,263.000000,5.624420,0.000046,0.000028,-0.248026,0.102896,0.092335,0.383358,0.000000,643,577,4840,189,0
7,6357,0,541635.703476,285.000000,5.484505,0.000030,0.000035,-0.483186,0.121598,0.092496,0.380293,0.000000,773,588,4798,197,1
8,6216,0,487939.405405,243.000000,5.339929,0.000029,0.000045,-0.599895,0.139801,0.097329,0.372223,0.000000,869,605,4522,219,1
9,5888,0,517103.824728,807112.000000,5.436990,0.000031,0.000039,-0.477773,0.113111,0.104959,0.369599,0.000000,666,618,4418,185,1
10,5864,0,650866.790928,903995.000000,5.485846,0.000031,0.000030,-0.403105,0.116303,0.089018,0.373034,0.000000,682,522,4458,202,0
11,5937,0,798760.157150,1137446.000000,5.414351,0.000023,0.000025,-0.480269,0.135085,0.084554,0.381293,0.000000,802,502,4444,189,0
12,6274,0,743449.000956,950828.500000,5.126713,0.000010,0.000034,-0.887619,0.201785,0.074912,0.371372,0.000000,1266,470,4354,184,0
13,6115,0,598902.195748,871079.000000,5.008994,-0.000001,0.000049,-1.128478,0.225020,0.081112,0.365852,0.000000,1376,496,4063,178,2
14,5857,0,585660.520744,901644.000000,4.975756,-0.000003,0.000050,-1.136887,0.220932,0.088100,0.358771,0.000000,1294,516,3885,161,1
15,5867,0,601254.179308,822693.000000,5.063576,0.000002,0.000046,-1.022565,0.198057,0.089824,0.362938,0.000000,1162,527,4020,157,1
16,5629,0,581388.936934,781426.000000,5.176763,0.000019,0.000041,-0.706726,0.152958,0.084917,0.374690,0.000000,861,478,4095,195,0
17,6032,0,545527.901194,673031.500000,5.138760,0.000020,0.000039,-0.699851,0.166611,0.073773,0.392752,0.000000,1005,445,4391,191,0
18,5594,0,514561.736503,686394.500000,5.041831,0.000008,0.000047,-0.932236,0.205220,0.094387,0.371672,0.000000,1148,528,3756,161,1
19,5568,4432,540548.178879,704718.500000,5.068966,0.000018,0.000047,-0.794572,0.169361,0.082435,0.377370,0.000000,943,459,3983,182,1
