round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,55432,0.126294,0.042626,0.242283,28894.719567,0.165789,0.303345,0.275870,0.407185,0.000000
1,47203,0.108716,0.051795,0.282421,18170.414385,0.170709,0.282969,0.266466,0.363936,0.000000
2,40308,0.067575,0.034528,0.212517,12816.973229,0.143892,0.268458,0.273271,0.385158,0.000000
3,38065,0.062864,0.053094,0.168063,14238.158828,0.117799,0.268409,0.270222,0.362700,0.000000
4,36841,0.079563,0.043123,0.219534,13351.766403,0.126842,0.297685,0.277815,0.378805,0.000000
5,36277,0.087133,0.039426,0.229473,13774.717793,0.121317,0.289440,0.278165,0.371865,0.000000
6,35244,0.064840,0.041360,0.153622,14875.609935,0.143230,0.284474,0.266088,0.383358,0.000000
7,33895,0.035027,0.069078,0.087393,13585.261461,0.151763,0.282313,0.265437,0.380293,0.000000
8,33050,0.046635,0.073056,0.124884,12341.814659,0.151165,0.292194,0.264992,0.372223,0.000000
9,33488,0.077102,0.053032,0.186733,13827.272358,0.143634,0.306617,0.278189,0.369599,0.000000
10,32357,0.061481,0.059349,0.112376,17702.686363,0.154279,0.275829,0.275520,0.373034,0.000000
11,31461,0.054695,0.057239,0.091926,18718.977946,0.159499,0.281110,0.271511,0.381293,0.000000
12,30122,-0.013890,0.101040,-0.028488,14686.667303,0.183022,0.254532,0.264956,0.371372,0.000000
13,30653,-0.023073,0.110357,-0.050562,13987.848191,0.180080,0.266336,0.257136,0.365852,0.000000
14,30212,0.012566,0.087888,0.026364,14400.774848,0.164206,0.272475,0.264167,0.358771,0.000000
15,29976,0.023669,0.083043,0.056914,12465.981659,0.161729,0.272318,0.263211,0.362938,0.000000
16,30111,0.049000,0.076443,0.124799,11822.420924,0.162133,0.269968,0.268274,0.374690,0.000000
17,29371,0.010259,0.068297,0.029629,10169.681970,0.173811,0.269926,0.263083,0.392752,0.000000
18,29014,0.020234,0.091659,0.053240,11027.029274,0.167540,0.284725,0.264838,0.371672,0.000000
19,29093,0.058383,0.071677,0.142932,11883.459611,0.180043,0.263947,0.265425,0.377370,0.000000
