round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,9634,0,170.360598,105.000000,5.373884,0.238113,0.084274,0.082284,0.075462,0.069649,0.407185,0.000000,727,671,7930,306,0
1,7925,0,66073.325804,107.000000,5.019685,0.000363,0.000235,-0.387563,0.173754,0.106372,0.362211,0.000000,1377,843,5443,262,0
2,7548,0,272220.469926,113.000000,5.408850,0.000066,0.000055,-0.391591,0.127186,0.084658,0.379442,0.000000,960,639,5686,263,0
3,7144,0,317041.511338,141.000000,5.363382,0.000072,0.000041,-0.257411,0.114922,0.094345,0.380378,0.000000,821,674,5408,241,0
4,7338,0,330218.770782,118.000000,5.316162,0.000029,0.000065,-0.712582,0.164486,0.089125,0.372962,0.000000,1207,654,5255,222,0
5,6738,0,355265.296527,172.000000,5.238795,0.000063,0.000049,-0.348802,0.120362,0.093945,0.383870,0.000000,811,633,5074,219,1
6,6760,0,466963.478402,201.000000,5.284467,0.000023,0.000041,-0.653030,0.161391,0.081361,0.378726,0.000000,1091,550,4918,201,0
7,6228,0,425497.383911,249.500000,5.386641,0.000033,0.000040,-0.473159,0.121548,0.113198,0.372133,0.000000,757,705,4556,209,1
8,6051,0,518389.127417,840889.000000,5.703024,0.000051,0.000025,-0.123259,0.078995,0.105107,0.374887,0.000000,478,636,4695,242,0
9,6030,0,607143.929851,898764.000000,5.693532,0.000046,0.000023,-0.140958,0.096186,0.096683,0.373553,0.000000,580,583,4671,194,2
10,6183,0,527865.277050,730511.000000,5.411612,0.000019,0.000042,-0.704520,0.157690,0.093320,0.359414,0.000000,975,577,4444,186,1
11,5713,0,502477.030107,736468.000000,5.314371,0.000021,0.000044,-0.644027,0.135305,0.096447,0.360201,0.000000,773,551,4199,190,0
12,6067,0,643086.090984,916031.000000,5.204384,0.000016,0.000038,-0.754197,0.162354,0.080105,0.377165,0.000000,985,486,4410,186,0
13,5553,0,620165.752746,832734.000000,5.258239,0.000024,0.000035,-0.574194,0.130920,0.085179,0.388147,0.000000,727,473,4179,174,0
14,5953,0,586242.560726,776179.000000,5.137914,0.000024,0.000034,-0.635625,0.168318,0.072065,0.400637,0.000000,1002,429,4363,159,0
15,5604,0,585542.031585,793728.500000,5.181656,0.000030,0.000029,-0.503008,0.157566,0.089044,0.389369,0.000000,883,499,4061,160,1
16,5641,0,653762.059918,829970.000000,5.204396,0.000027,0.000025,-0.458364,0.146251,0.082078,0.392370,0.000000,825,463,4168,185,0
17,5663,0,701135.189476,899471.000000,5.234328,0.000021,0.000022,-0.485343,0.145859,0.082465,0.383259,0.000000,826,467,4187,183,0
18,5715,0,714790.472266,895352.000000,5.220997,0.000018,0.000025,-0.567825,0.151531,0.084339,0.380821,0.000000,866,482,4194,173,0
19,5626,4374,743565.497156,956273.000000,5.152328,0.000015,0.000032,-0.737473,0.166193,0.079275,0.377044,0.000000,935,446,4059,186,0
