round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,55432,0.126294,0.042626,0.242283,28894.719567,0.165789,0.303345,0.275870,0.407185,0.000000
1,46828,0.085044,0.054700,0.217576,18303.546836,0.158708,0.262642,0.262706,0.362211,0.000000
2,41514,0.068968,0.039889,0.208374,13740.466411,0.149419,0.282748,0.273619,0.379442,0.000000
3,39697,0.089504,0.038837,0.234129,15175.567537,0.143688,0.292491,0.273950,0.380378,0.000000
4,37380,0.005850,0.078409,0.019565,11176.094636,0.157517,0.266346,0.269609,0.372962,0.000000
5,37720,0.101199,0.051407,0.223954,17044.625457,0.154242,0.315907,0.278446,0.383870,0.000000
6,34969,0.012116,0.064840,0.033037,12824.957367,0.124996,0.273356,0.263433,0.378726,0.000000
7,35586,0.084099,0.042756,0.229301,13051.564176,0.135362,0.280138,0.273478,0.372133,0.000000
8,35268,0.101626,0.034910,0.240362,14911.513453,0.131366,0.303079,0.274441,0.374887,0.000000
9,33931,0.079037,0.043010,0.208337,12872.409132,0.149833,0.287466,0.276738,0.373553,0.000000
10,31770,-0.011170,0.085932,-0.031917,11118.870617,0.149638,0.255965,0.265408,0.359414,0.000000
11,31722,0.058798,0.062968,0.137107,13603.878269,0.156579,0.284597,0.270632,0.360201,0.000000
12,30245,0.009638,0.087172,0.020008,14569.457468,0.167565,0.271053,0.263713,0.377165,0.000000
13,30315,0.073280,0.061134,0.176029,12619.916504,0.156424,0.305426,0.271582,0.388147,0.000000
14,29462,0.029227,0.059951,0.070431,12225.762966,0.176091,0.288338,0.270891,0.400637,0.000000
15,29935,0.078765,0.050415,0.190910,12350.538341,0.151161,0.316085,0.276733,0.389369,0.000000
16,29606,0.053616,0.047805,0.105196,15089.385458,0.159697,0.290380,0.277376,0.392370,0.000000
17,29518,0.035251,0.050359,0.075465,13788.518957,0.172776,0.279321,0.273935,0.383259,0.000000
18,29569,0.027663,0.066912,0.050534,16186.610475,0.157902,0.286787,0.271298,0.380821,0.000000
19,29120,0.056300,0.079760,0.116801,14036.342518,0.153571,0.304499,0.273970,0.377044,0.000000
