round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,8630,0,180.510660,124.000000,5.554693,0.406906,0.103397,0.586005,0.066512,0.115411,0.388163,0.000000,574,996,6718,342,0
1,5963,0,300587.286433,106.000000,6.077813,0.000284,0.000048,0.802384,0.102130,0.122925,0.352091,0.000000,609,733,4346,275,0
2,6445,0,541890.524593,192.000000,6.569899,0.000143,0.000031,0.626079,0.092475,0.085493,0.388886,0.000000,596,551,5046,252,0
3,6213,0,521296.756156,152.000000,6.560760,0.000143,0.000041,0.482057,0.106390,0.094479,0.380449,0.000000,661,587,4700,265,0
4,5871,0,593961.901209,218.000000,6.393970,0.000123,0.000041,0.423373,0.102708,0.098961,0.375607,0.000000,603,581,4449,238,0
5,5973,0,658816.777331,323.000000,6.541939,0.000115,0.000038,0.430798,0.111167,0.077515,0.391017,0.000000,664,463,4629,217,0
6,5451,0,733819.527059,327.000000,6.614383,0.000111,0.000034,0.542511,0.102367,0.102917,0.376117,0.000000,558,561,4125,206,1
7,5397,0,931241.545859,1227318.000000,6.681304,0.000094,0.000024,0.756133,0.072262,0.081341,0.395500,0.000000,390,439,4315,252,1
8,5556,0,1064673.704284,1220502.000000,6.610331,0.000071,0.000022,0.453259,0.105112,0.078474,0.388152,0.000000,584,436,4328,207,1
9,5139,0,1030899.365246,1187504.000000,6.635727,0.000078,0.000021,0.592010,0.094571,0.087566,0.387917,0.000000,486,450,3991,212,0
10,5324,0,1064783.897633,1152069.500000,6.621901,0.000074,0.000024,0.480691,0.108753,0.079639,0.388541,0.000000,579,424,4120,201,0
11,5293,0,1018236.170036,1036536.000000,6.503117,0.000068,0.000030,0.196713,0.129605,0.089363,0.376135,0.000000,686,473,3918,214,2
12,5184,0,963718.145448,993939.000000,6.437500,0.000064,0.000033,0.028887,0.144290,0.080247,0.376288,0.000000,748,416,3828,192,0
13,5109,0,1002409.655118,1063850.000000,6.318458,0.000069,0.000027,0.278805,0.119201,0.083187,0.384358,0.000000,609,425,3895,179,1
14,4845,0,1038244.226832,1064668.000000,6.478019,0.000074,0.000025,0.433293,0.109391,0.090402,0.388195,0.000000,530,438,3703,174,0
15,5070,0,1088979.297436,1088733.000000,6.373570,0.000065,0.000028,0.195891,0.139053,0.077515,0.389285,0.000000,705,393,3774,198,0
16,5032,0,1006511.051073,848682.500000,6.266494,0.000072,0.000027,0.300631,0.123211,0.089428,0.390894,0.000000,620,450,3761,201,0
17,4836,0,930678.680935,799458.000000,6.255170,0.000072,0.000030,0.201580,0.128205,0.094706,0.382142,0.000000,620,458,3561,196,1
18,4581,0,1038590.617769,1002647.000000,6.532853,0.000076,0.000025,0.483721,0.104999,0.088845,0.383279,0.000000,481,407,3505,188,0
19,4911,5089,1154258.338220,1140943.000000,6.522297,0.000068,0.000026,0.376211,0.125433,0.075137,0.389703,0.000000,616,369,3733,192,1
