round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,61637,0.230392,0.051670,0.418185,33957.907344,0.140695,0.285721,0.271525,0.388163,0.000000
1,48523,0.272539,0.031514,0.684485,19320.216881,0.142551,0.303485,0.269336,0.352091,0.000000
2,41568,0.174487,0.048603,0.527288,13755.417579,0.136403,0.271940,0.268380,0.388886,0.000000
3,40468,0.180878,0.062128,0.507955,14410.263488,0.129979,0.280765,0.261565,0.380449,0.000000
4,39815,0.208671,0.063714,0.520384,15965.572739,0.134145,0.299184,0.277935,0.375607,0.000000
5,38334,0.177121,0.067112,0.413904,16404.205888,0.159049,0.294725,0.264021,0.391017,0.000000
6,37990,0.229129,0.059760,0.471426,18464.430530,0.132509,0.308371,0.273598,0.376117,0.000000
7,37047,0.230393,0.044294,0.383494,22256.813280,0.143466,0.294518,0.272924,0.395500,0.000000
8,35484,0.170652,0.067086,0.325275,18616.296666,0.156578,0.270629,0.260399,0.388152,0.000000
9,35715,0.226450,0.048544,0.383999,21061.698155,0.139997,0.296010,0.271931,0.387917,0.000000
10,34780,0.181635,0.074187,0.357598,17665.764781,0.151639,0.293876,0.266475,0.388541,0.000000
11,33099,0.164823,0.083542,0.343386,15887.318016,0.152844,0.291701,0.263482,0.376135,0.000000
12,33537,0.147282,0.081469,0.309172,15976.226471,0.162119,0.282971,0.256791,0.376288,0.000000
13,32763,0.205442,0.061224,0.352077,19117.660877,0.148246,0.294631,0.265910,0.384358,0.000000
14,32842,0.212687,0.065915,0.412001,16953.967878,0.144145,0.295841,0.270720,0.388195,0.000000
15,31727,0.176539,0.089975,0.323094,17335.632309,0.160116,0.293000,0.265168,0.389285,0.000000
16,31318,0.179228,0.068753,0.463524,12109.512076,0.172936,0.285746,0.264896,0.390894,0.000000
17,31182,0.192235,0.068185,0.377409,15882.649087,0.159675,0.298153,0.271246,0.382142,0.000000
18,31944,0.242014,0.061423,0.484457,15957.840880,0.170204,0.308321,0.271913,0.383279,0.000000
19,31236,0.192449,0.084088,0.313396,19181.227793,0.160808,0.301927,0.264631,0.389703,0.000000
