round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,8630,0,180.510660,124.000000,5.554693,0.406906,0.103397,0.586005,0.066512,0.115411,0.388163,0.000000,574,996,6718,342,0
1,6813,0,285609.759724,113.000000,6.067665,0.000257,0.000072,0.413123,0.144577,0.103038,0.357201,0.000000,985,702,4852,274,0
2,6874,0,454875.447920,141.000000,6.588595,0.000169,0.000043,0.556661,0.100815,0.074484,0.392150,0.000000,693,512,5394,275,0
3,6692,0,496872.184549,182.000000,6.603706,0.000169,0.000037,0.728166,0.084728,0.092797,0.387292,0.000000,567,621,5209,294,1
4,6525,0,585424.322452,198.000000,6.831724,0.000155,0.000031,0.856785,0.078621,0.090268,0.389594,0.000000,513,589,5153,270,0
5,6315,0,683486.287728,259.000000,6.889153,0.000132,0.000026,0.844931,0.079810,0.087728,0.389281,0.000000,504,554,5017,239,1
6,6092,0,815194.152823,302.500000,6.954531,0.000122,0.000022,1.029738,0.062213,0.086999,0.398592,0.000000,379,530,4918,265,0
7,6104,0,905291.032110,329.000000,6.856488,0.000104,0.000023,0.871342,0.080603,0.089941,0.398585,0.000000,492,549,4793,270,0
8,5776,0,831631.908414,334.500000,6.817694,0.000110,0.000027,0.780285,0.086219,0.097645,0.384673,0.000000,498,564,4479,234,1
9,5589,0,851118.543568,1091223.000000,6.811594,0.000107,0.000027,0.761976,0.084809,0.089461,0.391183,0.000000,474,500,4386,229,0
10,5433,0,871096.236886,1103434.000000,6.729431,0.000093,0.000033,0.438189,0.121112,0.092398,0.381465,0.000000,658,502,4053,219,1
11,5814,0,860263.770898,977848.000000,6.471448,0.000079,0.000037,0.145093,0.135535,0.065531,0.390495,0.000000,788,381,4437,205,3
12,5780,0,802925.324567,866831.000000,6.128893,0.000065,0.000047,-0.307130,0.183564,0.071107,0.378013,0.000000,1061,411,4132,173,3
13,5096,0,892468.471154,1081331.500000,6.032575,0.000064,0.000039,-0.134669,0.157575,0.090071,0.374442,0.000000,803,459,3653,180,1
14,5114,0,905191.381306,1020819.000000,6.211185,0.000077,0.000032,0.214048,0.133555,0.079781,0.382523,0.000000,683,408,3796,227,0
15,5285,0,995204.810218,1089398.000000,6.434248,0.000074,0.000029,0.296016,0.131126,0.084011,0.381423,0.000000,693,444,3947,200,1
16,5227,0,1028886.275684,1114605.000000,6.464703,0.000073,0.000029,0.313464,0.130476,0.085900,0.379488,0.000000,682,449,3891,204,1
17,5072,0,1059545.798304,1148208.500000,6.461159,0.000068,0.000027,0.298940,0.118691,0.083991,0.380609,0.000000,602,426,3827,217,0
18,4977,0,1153249.737392,1276919.000000,6.641149,0.000074,0.000022,0.588287,0.107494,0.089009,0.384317,0.000000,535,443,3796,203,0
19,4982,5018,1181592.939582,1160080.500000,6.772782,0.000076,0.000022,0.672413,0.105379,0.087515,0.383245,0.000000,525,436,3819,201,1
