round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,61637,0.230392,0.051670,0.418185,33957.907344,0.140695,0.285721,0.271525,0.388163,0.000000
1,48645,0.218386,0.056452,0.545224,19484.481564,0.157303,0.287203,0.269134,0.357201,0.000000
2,45194,0.191249,0.047530,0.559630,15444.698883,0.139288,0.270301,0.262845,0.392150,0.000000
3,45513,0.223907,0.045692,0.529645,19240.576263,0.125569,0.297959,0.276536,0.387292,0.000000
4,44997,0.224331,0.042905,0.542557,18604.931057,0.128142,0.308687,0.273174,0.389594,0.000000
5,44473,0.221757,0.042873,0.430660,22900.175835,0.122142,0.303712,0.270434,0.389281,0.000000
6,43455,0.254684,0.041225,0.451398,24517.804351,0.137084,0.321091,0.276401,0.398592,0.000000
7,41353,0.227613,0.053347,0.463524,20306.380513,0.150678,0.288202,0.266002,0.398585,0.000000
8,39883,0.225922,0.059027,0.520947,17296.281755,0.154276,0.276233,0.271243,0.384673,0.000000
9,38375,0.221164,0.060230,0.492276,17240.663315,0.151270,0.298866,0.272261,0.391183,0.000000
10,36295,0.202335,0.070953,0.415923,17656.494750,0.161372,0.298829,0.266566,0.381465,0.000000
11,35470,0.133180,0.097199,0.325781,14500.183475,0.176995,0.274260,0.257316,0.390495,0.000000
12,32891,0.119788,0.115251,0.206856,19046.806696,0.180444,0.272415,0.255571,0.378013,0.000000
13,33346,0.200094,0.081885,0.403083,16553.267400,0.160679,0.300786,0.265639,0.374442,0.000000
14,33355,0.209750,0.062980,0.426893,16388.688450,0.151042,0.309819,0.268266,0.382523,0.000000
15,33977,0.182823,0.076108,0.347129,17894.722088,0.164494,0.303588,0.267917,0.381423,0.000000
16,33095,0.192367,0.080570,0.365074,17438.622057,0.166188,0.310651,0.268137,0.379488,0.000000
17,33789,0.192859,0.070910,0.323519,20142.576088,0.157832,0.295777,0.265530,0.380609,0.000000
18,34699,0.232196,0.057328,0.418888,19234.166795,0.147295,0.309778,0.278509,0.384317,0.000000
19,34283,0.233170,0.061275,0.416188,19207.091713,0.146487,0.311320,0.274655,0.383245,0.000000
