round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,7870,0,244.041423,201.000000,5.760737,0.523157,0.044065,1.710569,0.017789,0.082211,0.404982,0.000000,140,647,6717,366,0
1,7326,0,581556.865274,130.000000,7.342206,0.000177,0.000021,1.195168,0.063746,0.111930,0.379465,0.000000,467,820,5738,301,0
2,6924,0,459400.173744,140.000000,6.631282,0.000173,0.000032,0.744646,0.065713,0.089255,0.392871,0.000000,455,618,5572,279,0
3,6334,0,543947.243606,200.000000,6.276445,0.000150,0.000030,0.770640,0.058889,0.089359,0.396556,0.000000,373,566,5125,270,0
4,6463,0,699182.102429,251.000000,6.406777,0.000117,0.000026,0.702047,0.076126,0.081077,0.400003,0.000000,492,524,5205,242,0
5,5883,0,701263.095699,278.000000,6.445861,0.000110,0.000030,0.614576,0.063743,0.097909,0.391968,0.000000,375,576,4712,220,0
6,5430,0,823897.241252,1115419.000000,6.609945,0.000104,0.000022,0.842437,0.040516,0.095764,0.398240,0.000000,220,520,4464,226,0
7,5362,0,980806.248415,1182503.000000,6.765759,0.000093,0.000016,0.970630,0.046065,0.099030,0.391908,0.000000,247,531,4335,249,0
8,5440,0,1028155.617096,1179675.000000,6.773346,0.000084,0.000016,0.860776,0.054228,0.090993,0.392960,0.000000,295,495,4449,200,1
9,5702,0,992887.631708,1242196.000000,6.438793,0.000072,0.000022,0.464203,0.089793,0.074886,0.396505,0.000000,512,427,4552,210,1
10,5389,0,956018.808128,1171675.000000,6.248840,0.000074,0.000023,0.431172,0.093524,0.089441,0.388573,0.000000,504,482,4195,207,1
11,5442,0,1001161.941014,1179706.500000,6.363102,0.000069,0.000023,0.378928,0.091327,0.074421,0.396134,0.000000,497,405,4345,195,0
12,5596,0,990518.870264,1172842.000000,6.122409,0.000057,0.000029,0.005455,0.127412,0.079700,0.390008,0.000000,713,446,4239,196,2
13,5429,0,943679.198563,1090000.000000,6.035366,0.000056,0.000032,-0.076083,0.128937,0.087125,0.382917,0.000000,700,473,4088,168,0
14,5495,0,864366.230573,970858.000000,5.845860,0.000060,0.000034,-0.077351,0.125933,0.073157,0.397234,0.000000,692,402,4204,195,2
15,5174,0,804608.474874,892414.000000,6.000387,0.000080,0.000030,0.286518,0.092192,0.085814,0.395888,0.000000,477,444,4039,214,0
16,4887,0,828984.958461,883453.000000,6.184367,0.000090,0.000024,0.579851,0.065889,0.102722,0.395408,0.000000,322,502,3882,180,1
17,5219,0,929822.336655,927433.000000,6.344510,0.000080,0.000023,0.530792,0.075685,0.087373,0.399530,0.000000,395,456,4169,199,0
18,4736,0,977169.941301,1007685.500000,6.376478,0.000075,0.000021,0.549958,0.069257,0.103041,0.388808,0.000000,328,488,3717,202,1
19,4774,5226,1004357.532468,899523.000000,6.466904,0.000079,0.000017,0.708966,0.068077,0.090909,0.393531,0.000000,325,434,3836,179,0
