round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,66637,0.362407,0.027609,0.523937,46092.777262,0.164938,0.335324,0.283611,0.404982,0.000000
1,52084,0.206250,0.028335,0.520955,20620.442919,0.131211,0.282851,0.280758,0.379465,0.000000
2,45404,0.200769,0.043503,0.505628,18028.541153,0.126861,0.267972,0.270373,0.392871,0.000000
3,43099,0.244650,0.040489,0.492603,21405.060020,0.149377,0.300842,0.281097,0.396556,0.000000
4,40026,0.187070,0.054464,0.392936,19055.736550,0.161370,0.304102,0.274572,0.400003,0.000000
5,39731,0.209013,0.059969,0.481394,17250.494280,0.137525,0.308852,0.270796,0.391968,0.000000
6,38586,0.249019,0.032438,0.446259,21531.537650,0.124838,0.319650,0.278132,0.398240,0.000000
7,36850,0.228520,0.032586,0.468338,17980.535653,0.128168,0.312374,0.278996,0.391908,0.000000
8,35797,0.205762,0.042488,0.361652,20366.670604,0.135319,0.302176,0.278711,0.392960,0.000000
9,34513,0.164192,0.060384,0.302789,18715.180603,0.142526,0.282908,0.269782,0.396505,0.000000
10,34823,0.193092,0.064922,0.359600,18698.705408,0.150820,0.300663,0.276024,0.388573,0.000000
11,33836,0.156835,0.070851,0.274107,19359.821106,0.168785,0.277958,0.273052,0.396134,0.000000
12,33236,0.131680,0.085592,0.246900,17725.876415,0.174359,0.277199,0.267120,0.390008,0.000000
13,32677,0.159678,0.080141,0.290491,17962.011849,0.164275,0.278667,0.264039,0.382917,0.000000
14,31933,0.145922,0.079613,0.325425,14318.873740,0.184323,0.275671,0.264773,0.397234,0.000000
15,32587,0.204438,0.062420,0.481855,13825.767898,0.154264,0.301992,0.274496,0.395888,0.000000
16,32309,0.228038,0.043501,0.500879,14709.491582,0.136773,0.329134,0.283389,0.395408,0.000000
17,31407,0.178783,0.066282,0.391964,14325.407155,0.152036,0.305696,0.270704,0.399530,0.000000
18,32101,0.214932,0.042794,0.413097,16701.996786,0.139996,0.301829,0.277686,0.388808,0.000000
19,31581,0.202928,0.038225,0.458663,13972.493017,0.138944,0.298186,0.274912,0.393531,0.000000
