round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,66637,0.362407,0.027609,0.523937,46092.777262,0.164938,0.335324,0.283611,0.404982,0.000000
1,51753,0.200558,0.027640,0.538057,19290.696107,0.143644,0.287191,0.278921,0.383628,0.000000
2,45592,0.149325,0.061317,0.375201,18145.059788,0.150092,0.266384,0.264213,0.394238,0.000000
3,45490,0.188509,0.062772,0.472999,18129.544945,0.142845,0.281534,0.276237,0.384323,0.000000
4,43858,0.235447,0.028147,0.508735,20297.845273,0.124265,0.299991,0.278877,0.389927,0.000000
5,43026,0.213574,0.033703,0.467252,19666.569590,0.137568,0.317134,0.280644,0.403670,0.000000
6,41165,0.180118,0.059904,0.376790,19678.241540,0.157901,0.281526,0.270983,0.399219,0.000000
7,40002,0.210621,0.055859,0.495783,16993.841869,0.151517,0.311584,0.276486,0.391745,0.000000
8,38302,0.187635,0.042513,0.404941,17747.733369,0.148635,0.290820,0.275547,0.402390,0.000000
9,37254,0.219635,0.052558,0.454241,18013.067833,0.146991,0.309282,0.277017,0.397911,0.000000
10,36718,0.194125,0.044079,0.388281,18357.506216,0.150335,0.297157,0.281224,0.407682,0.000000
11,35440,0.188363,0.042146,0.391626,17045.831317,0.143623,0.298533,0.276608,0.403153,0.000000
12,34155,0.187684,0.060248,0.403792,15875.375882,0.155761,0.303528,0.277646,0.394423,0.000000
13,33820,0.189406,0.058667,0.401115,15969.774110,0.149882,0.306682,0.277765,0.396936,0.000000
14,33910,0.204528,0.048192,0.311440,22269.339688,0.147980,0.296815,0.278679,0.390305,0.000000
15,33726,0.207783,0.052966,0.331424,21144.237255,0.148639,0.307033,0.279428,0.398347,0.000000
16,32948,0.209121,0.038830,0.372334,18505.231398,0.140737,0.292400,0.281079,0.399680,0.000000
17,33336,0.227996,0.034550,0.434569,17489.628606,0.140899,0.319264,0.292537,0.400955,0.000000
18,33845,0.232943,0.023198,0.552228,14276.653228,0.128291,0.328202,0.289614,0.404339,0.000000
19,33258,0.190002,0.037979,0.370782,17042.549219,0.141861,0.293523,0.283962,0.394789,0.000000
