day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial
0,36715,10000,3.671500,-0.038554,0.704079,57,0.000000
1,32862,8486,3.872496,-0.014074,0.704079,84,0.000000
2,31067,8443,3.679616,0.000116,0.704079,119,0.000000
3,29743,8369,3.553949,-0.006478,0.704079,140,0.000000
4,27505,8197,3.355496,-0.021376,0.704079,182,0.000000
5,26287,7999,3.286286,-0.021470,0.704079,224,0.000000
6,26014,7892,3.296249,-0.013456,0.704079,267,0.000000
7,25978,7787,3.336073,-0.003025,0.704079,306,0.000000
8,26379,7813,3.376296,0.007224,0.704079,347,0.000000
9,1,1,1.000000,-1.000000,0.704079,347,0.000000
