round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,36614,0,333.597149,294.000000,4.210111,0.002759,0.125364,-1.603634,0.355001,0.039138,0.423908,-0.022091,12998,1433,21217,894,72
1,32880,0,232.682634,174.000000,4.284033,0.020262,0.171813,-1.520786,0.360918,0.034915,0.422456,-0.011707,11867,1148,18972,841,52
2,31091,0,219.469268,164.000000,4.449390,0.046867,0.179056,-1.366209,0.336979,0.042327,0.417458,-0.006338,10477,1316,18408,850,40
3,29720,0,228.174327,170.000000,4.508816,0.049235,0.171967,-1.359492,0.342699,0.040713,0.414715,-0.004708,10185,1210,17496,775,54
4,27531,0,234.725945,175.000000,4.399332,0.032758,0.181090,-1.516954,0.366787,0.041916,0.406176,-0.003383,10098,1154,15465,753,61
5,26271,0,237.652278,181.000000,4.409996,0.034217,0.186330,-1.548108,0.371703,0.039740,0.404401,-0.001999,9765,1044,14720,699,43
6,26020,0,235.931284,179.000000,4.433205,0.049468,0.183921,-1.466997,0.367294,0.042275,0.407428,0.001457,9557,1100,14632,684,47
7,25962,0,248.322856,188.000000,4.596256,0.063052,0.165976,-1.331387,0.350397,0.040752,0.409241,0.003172,9097,1058,15054,698,55
8,26461,0,251.253127,194.000000,4.693473,0.076619,0.156126,-1.200284,0.331129,0.041155,0.410172,0.005156,8762,1089,15830,732,48
9,1,78,77.000000,77.000000,1.000000,-0.779221,0.528640,-3.854394,1.000000,0.000000,0.351945,0.021659,1,0,0,0,0
