round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,154482,0.004102,0.165458,0.003164,200283.207978,0.282596,0.241769,0.249246,0.423908,0.704079
1,140821,0.018428,0.155511,0.020984,123663.001625,0.272069,0.238089,0.258761,0.422456,0.704079
2,138234,0.038290,0.147239,0.048097,110048.705948,0.259574,0.244882,0.265253,0.417458,0.704079
3,134071,0.041735,0.145043,0.051007,109699.809199,0.253880,0.244915,0.268500,0.414715,0.704079
4,121057,0.028942,0.161025,0.033541,104458.950859,0.265652,0.239614,0.267006,0.406176,0.704079
5,115875,0.030779,0.167360,0.035259,101154.512783,0.268341,0.238869,0.266727,0.404401,0.704079
6,115369,0.043983,0.163159,0.051105,99292.099859,0.259194,0.240619,0.269986,0.407428,0.704079
7,119373,0.056911,0.149377,0.065066,104410.461132,0.251062,0.246882,0.275556,0.409241,0.704079
8,124220,0.068389,0.139229,0.078964,107583.490063,0.239808,0.253558,0.280019,0.410172,0.704079
9,3,-0.211116,0.289041,-0.209596,3.021760,0.333333,0.000000,0.000000,0.351945,0.704079
