round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,23811,0,241.231784,201.000000,3.462559,-0.229560,0.184966,-3.110618,0.627105,0.038008,0.379587,-0.043714,14932,905,7489,455,30
1,10128,0,153.994175,112.000000,2.900474,-0.663812,0.295577,-4.256604,0.817437,0.019155,0.318782,-0.026759,8279,194,1458,173,24
2,7887,0,142.707113,98.000000,2.848358,-0.711324,0.337949,-4.303457,0.825916,0.016610,0.311962,-0.022376,6514,131,1094,131,17
3,6943,0,136.554227,92.000000,2.863460,-0.742202,0.365230,-4.301444,0.813769,0.018724,0.306995,-0.021043,5650,130,1015,127,21
4,6208,0,137.028512,93.000000,2.831024,-0.737610,0.356345,-4.288513,0.818782,0.018686,0.305130,-0.020477,5083,116,868,121,20
5,6172,0,137.837654,92.000000,2.837978,-0.742426,0.355264,-4.318035,0.822100,0.016040,0.304238,-0.020732,5074,99,869,112,18
6,5746,0,125.534111,80.000000,2.819527,-0.816184,0.394412,-4.351927,0.833623,0.017055,0.303659,-0.018751,4790,98,749,94,15
7,5361,0,123.273456,76.000000,2.793322,-0.834863,0.407203,-4.364995,0.832307,0.017161,0.296967,-0.018669,4462,92,700,95,12
8,5118,0,122.607855,79.000000,2.808128,-0.841626,0.412106,-4.360826,0.824736,0.017780,0.298794,-0.018777,4221,91,702,92,12
9,0,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000767,0,0,0,0,0
