round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,82468,-0.266571,0.214770,-0.234302,93825.583527,0.329873,0.208396,0.236868,0.379587,0.266167
1,29369,-0.587294,0.261538,-0.680848,25333.494502,0.351493,0.158807,0.209915,0.318782,0.141572
2,22467,-0.594225,0.282241,-0.730038,18287.365065,0.360262,0.159478,0.205857,0.311962,0.088302
3,19882,-0.589799,0.290222,-0.763571,15357.278915,0.365406,0.157680,0.198773,0.306995,0.059354
4,17575,-0.595279,0.287552,-0.757571,13809.967809,0.364723,0.165576,0.200057,0.305130,0.043418
5,17503,-0.601064,0.287604,-0.763450,13780.095566,0.358967,0.160315,0.205051,0.304238,0.031879
6,16207,-0.605500,0.292662,-0.839779,11685.612217,0.370087,0.161042,0.205035,0.303659,0.024892
7,14969,-0.613988,0.299492,-0.860276,10683.531063,0.370365,0.166611,0.202886,0.296967,0.020453
8,14373,-0.612435,0.299904,-0.867249,10149.940998,0.367008,0.162736,0.202185,0.298794,0.018002
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018002
