day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial
0,58518,10000,5.851800,0.223781,0.704079,2,0.000000
1,63835,9586,6.659190,0.220831,0.704079,3,0.000000
2,62531,9529,6.562179,0.222015,0.704079,4,0.000000
3,61833,9501,6.508052,0.218831,0.704079,4,0.000000
4,60194,9457,6.365021,0.211565,0.704079,10,0.000000
5,59107,9450,6.254709,0.208302,0.704079,11,0.000000
6,58075,9446,6.148105,0.199600,0.704079,15,0.000000
7,56670,9396,6.031290,0.194373,0.704079,19,0.000000
8,55855,9349,5.974436,0.187021,0.704079,24,0.000000
9,0,0,0.000000,0.000000,0.704079,24,0.000000
