round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,58360,0,233.949383,178.000000,6.363417,0.380760,0.016343,0.981418,0.111977,0.057419,0.431094,0.049306,6535,3351,46268,2206,0
1,63851,0,223.527650,167.000000,6.412335,0.396245,0.016397,0.984192,0.107673,0.054063,0.431142,0.046192,6875,3452,51101,2423,0
2,62485,0,245.414003,185.000000,6.383692,0.356439,0.016396,0.966929,0.104681,0.053869,0.429122,0.045030,6541,3366,50264,2314,0
3,61837,0,274.784158,207.000000,6.341592,0.308453,0.016110,0.918771,0.102414,0.050892,0.430510,0.043968,6333,3147,49989,2368,0
4,60200,0,255.189485,192.000000,6.259518,0.314193,0.020192,0.823582,0.105664,0.050847,0.431045,0.040196,6361,3061,48614,2164,0
5,59052,0,284.354924,216.000000,6.262125,0.275768,0.019309,0.784525,0.108481,0.052310,0.427880,0.035909,6406,3089,47429,2125,3
6,58162,0,271.815997,204.000000,6.179705,0.272442,0.022325,0.693296,0.112978,0.052526,0.427691,0.031739,6571,3055,46377,2156,3
7,56580,0,289.424744,223.000000,6.056239,0.240091,0.022481,0.596025,0.119371,0.049540,0.429852,0.030116,6754,2803,45055,1967,1
8,56090,0,275.058370,211.000000,5.961063,0.238059,0.026113,0.506701,0.125406,0.050883,0.428229,0.025287,7034,2854,44260,1938,4
9,1,131,187.000000,187.000000,7.000000,0.021259,0.093155,-0.474074,0.000000,0.000000,0.500000,0.062501,0,0,1,0,0
