round,impressions,mean_immediate_satisfaction,mean_regret,satisfaction_per_minute,watch_minutes,comment_rate,save_rate,profile_visit_rate,harmful_fatigue,platform_trust
0,372179,0.233631,0.010003,0.399266,217781.110108,0.108485,0.412285,0.299877,0.431094,0.704079
1,409380,0.230224,0.009524,0.416271,226412.969396,0.108982,0.391323,0.298420,0.431142,0.704079
2,399172,0.228429,0.010510,0.372632,244697.809794,0.109529,0.386510,0.299573,0.429122,0.704079
3,391899,0.222602,0.011636,0.320679,272039.454685,0.113152,0.379156,0.299628,0.430510,0.704079
4,377014,0.213573,0.013742,0.327679,245729.029488,0.113728,0.368697,0.296973,0.431045,0.704079
5,369907,0.208747,0.014610,0.286048,269944.249434,0.110322,0.366227,0.297180,0.427880,0.704079
6,359062,0.199677,0.016397,0.283467,252927.681099,0.113237,0.355200,0.295815,0.427691,0.704079
7,342895,0.191238,0.017920,0.248204,264195.918738,0.118092,0.350746,0.297181,0.429852,0.704079
8,334085,0.182918,0.020115,0.247377,247032.225021,0.117069,0.342281,0.295344,0.428229,0.704079
9,3,-0.264523,0.116147,-1.043197,0.760707,0.000000,0.333333,0.000000,0.500000,0.704079
