round,sessions,open_sessions,mean_duration_seconds,median_duration_seconds,mean_impressions,satisfaction_per_minute,regret_per_minute,mean_session_utility,early_failure_exit_rate,natural_completion_rate,harmful_fatigue_mean,next_session_starting_satisfaction,failure_exits,satisfied_exits,fatigue_exits,external_exits,regret_exits
0,37268,0,145.460180,101.000000,5.136203,0.004041,0.024430,-0.874361,0.320114,0.058925,0.369405,-0.018839,11930,2196,22007,1135,0
1,20200,0,125.466436,96.000000,4.613861,-0.444674,0.034009,-1.975923,0.410693,0.049257,0.307120,-0.027857,8296,995,10363,546,0
2,16289,0,133.241144,102.000000,4.733501,-0.378042,0.034901,-1.822572,0.374731,0.055068,0.312189,-0.024109,6104,897,8806,482,0
3,14573,0,135.318740,105.000000,4.831744,-0.343812,0.037277,-1.713230,0.348110,0.061072,0.315074,-0.021587,5073,890,8201,408,1
4,13823,0,136.705129,104.000000,4.848079,-0.337043,0.040504,-1.704434,0.344354,0.058670,0.311031,-0.022224,4760,811,7853,399,0
5,13341,0,136.473353,104.000000,4.888989,-0.336375,0.043563,-1.701772,0.340904,0.059066,0.311549,-0.022087,4548,788,7640,365,0
6,13142,0,132.546340,102.000000,4.890656,-0.334298,0.047669,-1.674632,0.338533,0.060341,0.307519,-0.021071,4449,793,7493,406,1
7,12492,0,138.574207,106.000000,4.868956,-0.323498,0.048570,-1.686457,0.336695,0.065162,0.307495,-0.020345,4206,814,7114,357,1
8,12397,0,135.159151,104.000000,4.953779,-0.309327,0.052842,-1.615691,0.322659,0.067355,0.309067,-0.020238,4000,835,7181,381,0
9,0,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014344,0,0,0,0,0
