day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,155025,0.051098,0.062700,0.566870,0.043574,0.025751,0.049057,0.088741,0.037271,0.099397,0.089340,0.287429
1,61294,0.021087,0.189790,0.414837,0.084005,0.059549,0.090955,0.083516,0.076109,0.132493,0.058538,0.270656
2,44929,0.015660,0.205124,0.388635,0.080282,0.071023,0.101071,0.097153,0.071869,0.119055,0.070912,0.260609
3,39530,0.014441,0.190792,0.362484,0.074627,0.076221,0.108652,0.100936,0.074399,0.124437,0.078244,0.284407
4,35444,0.013646,0.199893,0.350553,0.068107,0.077531,0.121487,0.119766,0.068869,0.119287,0.074399,0.263245
5,34013,0.013469,0.173316,0.380737,0.070885,0.080469,0.113839,0.107959,0.065093,0.107430,0.073590,0.277778
6,32240,0.013807,0.145099,0.372519,0.073604,0.078691,0.122301,0.101706,0.063803,0.115881,0.071495,0.254818
7,30114,0.013358,0.149499,0.365445,0.070200,0.081656,0.136847,0.096101,0.061101,0.113635,0.075015,0.267095
8,29386,0.013406,0.153100,0.366705,0.072926,0.076941,0.136085,0.102498,0.059042,0.110903,0.074900,0.261430
9,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
