day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,33684,10000,3.368400,-0.134556,0.326919,58,0.003879,2.836339
1,16098,7944,2.026435,-0.434267,0.153711,179,0.008835,2.835195
2,11752,6540,1.796942,-0.449253,0.088529,352,0.013537,2.835653
3,10366,6053,1.712539,-0.456763,0.057562,559,0.018337,2.837113
4,9288,5552,1.672911,-0.451420,0.039713,766,0.023069,2.838878
5,8913,5342,1.668476,-0.448207,0.029739,932,0.028053,2.841058
6,8471,5181,1.635013,-0.448405,0.022473,1105,0.033019,2.843486
7,8080,5091,1.587115,-0.468751,0.017678,1292,0.038208,2.846400
8,7794,4875,1.598769,-0.467325,0.014406,1466,0.043623,2.849614
9,0,0,0.000000,0.000000,0.014406,1466,0.043623,2.849614
