day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,156884,0.039878,0.073551,0.513488,0.045346,0.052517,0.030456,0.119974,0.049189,0.094579,0.094452,0.291347
1,64949,0.017932,0.168132,0.370737,0.084220,0.072488,0.070748,0.112704,0.076799,0.143620,0.068685,0.273907
2,46908,0.014438,0.157798,0.367229,0.083227,0.087149,0.081265,0.106997,0.067750,0.135180,0.071203,0.274247
3,39424,0.014353,0.138773,0.339894,0.076045,0.080738,0.092964,0.105418,0.069501,0.133193,0.102247,0.264902
4,36294,0.013341,0.142007,0.356147,0.070783,0.078277,0.099025,0.101642,0.065658,0.134788,0.093679,0.272281
5,35479,0.013308,0.133375,0.356662,0.074100,0.076186,0.103780,0.103357,0.064292,0.135742,0.085882,0.277824
6,34099,0.012528,0.127980,0.364146,0.075310,0.074606,0.100032,0.104930,0.063052,0.134813,0.083111,0.279095
7,33665,0.012953,0.117303,0.339017,0.076935,0.072241,0.117986,0.110471,0.061637,0.133640,0.088074,0.278729
8,31995,0.012207,0.105173,0.336209,0.076950,0.081481,0.117456,0.107454,0.064198,0.134146,0.082107,0.281920
9,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
