day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,33536,10000,3.353600,-0.119756,0.332782,61,0.003617,2.836162
1,16440,7933,2.072356,-0.412821,0.159529,170,0.008529,2.834978
2,12038,6636,1.814045,-0.438556,0.094129,327,0.013223,2.835181
3,10220,6020,1.697674,-0.452979,0.062311,481,0.018030,2.836366
4,9323,5613,1.660966,-0.442137,0.043489,648,0.022896,2.838244
5,9130,5458,1.672774,-0.430548,0.031314,817,0.028019,2.840526
6,8698,5262,1.652984,-0.425307,0.023733,960,0.033207,2.843171
7,8628,5287,1.631927,-0.434546,0.018464,1146,0.038941,2.846274
8,8230,5037,1.633909,-0.433211,0.015211,1324,0.044644,2.849451
9,0,0,0.000000,0.000000,0.015211,1324,0.044644,2.849451
