day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,147348,0.019122,0.119262,0.241225,0.168682,0.046482,0.087534,0.199636,0.108234,0.046577,0.101630,0.286901
1,53722,0.003227,0.361882,0.234969,0.134098,0.084733,0.135010,0.141916,0.084304,0.068594,0.116377,0.274355
2,39655,0.001926,0.416921,0.228723,0.138091,0.091161,0.127626,0.139705,0.083394,0.075854,0.115446,0.282580
3,34519,0.001599,0.439671,0.232886,0.141082,0.092036,0.119586,0.139923,0.083461,0.076161,0.114864,0.300875
4,30239,0.001530,0.436688,0.235821,0.138827,0.089520,0.120275,0.139753,0.088958,0.076722,0.110123,0.281034
5,28208,0.001503,0.434628,0.234437,0.140031,0.093059,0.116456,0.144214,0.084054,0.075156,0.112592,0.279245
6,27213,0.001469,0.426855,0.231617,0.142579,0.093338,0.116158,0.140999,0.084114,0.076508,0.114688,0.281940
7,26637,0.001479,0.425686,0.239554,0.138191,0.093479,0.113001,0.143259,0.083117,0.073131,0.116267,0.298768
8,25033,0.001454,0.425239,0.231415,0.141254,0.089762,0.119722,0.140934,0.082451,0.077737,0.116726,0.271840
9,1,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
