day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,30586,10000,3.058600,-0.193446,0.315865,92,0.003755,2.835141
1,14258,7546,1.889478,-0.500277,0.152796,243,0.008692,2.833027
2,10591,6319,1.676056,-0.548462,0.090063,420,0.014009,2.833689
3,9265,5709,1.622876,-0.560528,0.059030,606,0.019810,2.835823
4,8173,5216,1.566910,-0.575827,0.042322,786,0.025485,2.838164
5,7692,5037,1.527099,-0.578789,0.031739,1003,0.031348,2.841057
6,7346,4854,1.513391,-0.574054,0.024408,1214,0.037364,2.844378
7,7229,4788,1.509816,-0.581754,0.019735,1402,0.043845,2.848033
8,6926,4633,1.494928,-0.585888,0.016803,1590,0.050403,2.852035
9,0,0,0.000000,0.000000,0.016802,1590,0.050403,2.852034
