day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,147348,0.019122,0.119262,0.241225,0.168682,0.046482,0.087534,0.199636,0.108234,0.046577,0.101630,0.286901
1,53722,0.003227,0.361882,0.234969,0.134098,0.084733,0.135010,0.141916,0.084304,0.068594,0.116377,0.274355
2,39655,0.001926,0.416921,0.228723,0.138091,0.091161,0.127626,0.139705,0.083394,0.075854,0.115446,0.282580
3,34519,0.001599,0.439671,0.232886,0.141082,0.092036,0.119586,0.139923,0.083461,0.076161,0.114864,0.300875
4,30779,0.001493,0.438903,0.230742,0.140355,0.092271,0.119757,0.142987,0.086877,0.075344,0.111667,0.273394
5,28682,0.001487,0.431874,0.236246,0.140437,0.093264,0.116136,0.147235,0.082909,0.072345,0.111429,0.267470
6,28109,0.001442,0.431677,0.232808,0.142659,0.089829,0.115372,0.141058,0.087516,0.074531,0.116226,0.276372
7,26892,0.001441,0.428752,0.234642,0.140971,0.090138,0.115090,0.141752,0.086940,0.076045,0.114421,0.284108
8,26006,0.001426,0.427440,0.238637,0.138045,0.092748,0.117896,0.140275,0.081789,0.076136,0.114474,0.267172
9,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
