day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,30586,10000,3.058600,-0.193446,0.315865,92,0.003755,2.835141
1,14258,7546,1.889478,-0.500277,0.152796,243,0.008692,2.833027
2,10591,6319,1.676056,-0.548462,0.090063,420,0.014009,2.833689
3,9265,5709,1.622876,-0.560517,0.059030,606,0.019810,2.835823
4,8194,5214,1.571538,-0.559104,0.041925,794,0.025567,2.838239
5,7738,5091,1.519937,-0.562265,0.031719,985,0.031388,2.841035
6,7565,4930,1.534483,-0.553710,0.024262,1179,0.037388,2.843904
7,7276,4764,1.527288,-0.562128,0.019903,1359,0.043672,2.847475
8,7102,4708,1.508496,-0.574534,0.016643,1549,0.050191,2.851328
9,0,0,0.000000,0.000000,0.016641,1549,0.050191,2.851328
