day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,165290,0.031360,0.066955,0.482897,0.045181,0.011410,0.052804,0.111253,0.069351,0.122814,0.104289,0.286650
1,67873,0.014222,0.178009,0.359362,0.086014,0.046985,0.110736,0.100644,0.086912,0.129934,0.079413,0.276902
2,44922,0.010644,0.223988,0.336339,0.086728,0.071747,0.156560,0.080985,0.075620,0.110569,0.081452,0.270989
3,37729,0.009979,0.229797,0.332476,0.082032,0.077765,0.145220,0.099473,0.055501,0.117522,0.090010,0.264321
4,33358,0.008929,0.203040,0.329216,0.063133,0.084987,0.165897,0.112117,0.052191,0.110348,0.082109,0.275197
5,31751,0.008357,0.226324,0.336367,0.060691,0.079368,0.182608,0.106548,0.042613,0.110863,0.080942,0.280114
6,30260,0.008627,0.202545,0.345109,0.061699,0.084732,0.174620,0.105354,0.040416,0.118804,0.069266,0.271210
7,28820,0.008341,0.182547,0.340146,0.066343,0.087127,0.179355,0.118286,0.036329,0.113255,0.059160,0.280637
8,28821,0.008069,0.173172,0.361611,0.065542,0.079838,0.167066,0.116963,0.038618,0.119080,0.051282,0.296037
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
