day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,34835,10000,3.483500,-0.098792,0.341861,43,0.003768,2.836095
1,17391,8257,2.106213,-0.396872,0.157073,172,0.009173,2.833991
2,12033,6737,1.786107,-0.470519,0.088926,345,0.014604,2.834797
3,10071,5950,1.692605,-0.468748,0.057787,535,0.020189,2.837004
4,8969,5529,1.622174,-0.473656,0.040827,743,0.025755,2.839492
5,8524,5269,1.617764,-0.484348,0.030462,955,0.031553,2.842450
6,8137,5049,1.611606,-0.469986,0.023076,1155,0.037245,2.845587
7,7806,4926,1.584653,-0.473238,0.018334,1372,0.043087,2.848837
8,7610,4773,1.594385,-0.456958,0.014932,1544,0.048927,2.852101
9,0,0,0.000000,0.000000,0.014932,1544,0.048927,2.852101
