day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,33485,10000,3.348500,-0.128530,0.313436,56,0.003818,2.835411
1,16153,8012,2.016101,-0.429557,0.139853,199,0.008897,2.833807
2,11401,6488,1.757244,-0.482230,0.080523,378,0.013805,2.834354
3,9692,5880,1.648299,-0.512913,0.050781,598,0.019054,2.836171
4,8750,5423,1.613498,-0.494968,0.034859,825,0.024120,2.838409
5,8275,5136,1.611176,-0.484572,0.025329,1049,0.029148,2.840625
6,8076,5030,1.605567,-0.469998,0.019277,1256,0.034392,2.843598
7,7886,4885,1.614330,-0.453049,0.014516,1481,0.039748,2.846681
8,7807,4825,1.618031,-0.449482,0.012090,1672,0.045368,2.849911
9,0,0,0.000000,0.000000,0.012091,1672,0.045368,2.849911
