day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,156828,0.034903,0.034649,0.535733,0.017178,0.011114,0.079119,0.184878,0.063668,0.029752,0.078557,0.269824
1,52776,0.017893,0.078407,0.357246,0.023799,0.048488,0.233818,0.127956,0.047578,0.069312,0.091803,0.261618
2,35607,0.015033,0.082456,0.296459,0.031061,0.069705,0.284663,0.110512,0.048530,0.082343,0.076726,0.256480
3,31012,0.011249,0.081614,0.317393,0.024797,0.068490,0.257352,0.099123,0.055301,0.095898,0.081646,0.263282
4,28776,0.009676,0.071379,0.305220,0.031519,0.091674,0.246733,0.089102,0.051988,0.100570,0.083194,0.257084
5,28705,0.009518,0.070719,0.360355,0.023933,0.092527,0.199652,0.083296,0.043546,0.128688,0.068002,0.260964
6,28803,0.008877,0.066694,0.361490,0.024789,0.081971,0.195188,0.078985,0.045620,0.144186,0.067771,0.269925
7,29475,0.008392,0.076200,0.343613,0.019440,0.084682,0.208889,0.080509,0.038270,0.157625,0.066972,0.277443
8,29419,0.010278,0.074544,0.359937,0.014276,0.068629,0.205683,0.086237,0.036371,0.161562,0.067303,0.278982
9,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
