day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,33560,10000,3.356000,-0.143512,0.317540,54,0.003910,2.835956
1,14781,7808,1.893058,-0.521982,0.144598,237,0.009027,2.834776
2,10331,6226,1.659332,-0.564877,0.083290,520,0.013883,2.835634
3,8846,5461,1.619850,-0.541637,0.054827,782,0.018572,2.837312
4,8082,5088,1.588443,-0.523012,0.038279,1031,0.023160,2.839162
5,7951,4894,1.624642,-0.473717,0.028222,1282,0.027820,2.841488
6,7830,4745,1.650158,-0.436524,0.020733,1495,0.032345,2.843749
7,7981,4806,1.660633,-0.427300,0.016873,1698,0.037149,2.846308
8,7818,4726,1.654253,-0.407055,0.013794,1911,0.042002,2.849124
9,0,0,0.000000,0.000000,0.013792,1911,0.042002,2.849124
