day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,153022,0.041641,0.064684,0.495968,0.043111,0.020200,0.039007,0.094816,0.086504,0.114997,0.105397,0.300278
1,60698,0.016864,0.227882,0.331378,0.063231,0.076312,0.113908,0.097549,0.095539,0.120943,0.101140,0.280888
2,41906,0.011782,0.281726,0.328760,0.066936,0.079082,0.145922,0.116451,0.075956,0.092015,0.094879,0.264523
3,35356,0.010103,0.306228,0.323736,0.057416,0.086492,0.157823,0.117971,0.066891,0.099530,0.090140,0.255186
4,31644,0.009492,0.307452,0.338137,0.066616,0.068386,0.192864,0.110353,0.061623,0.091455,0.070566,0.274361
5,29792,0.008771,0.296690,0.335056,0.052766,0.085056,0.182129,0.119160,0.048872,0.101974,0.074987,0.288348
6,29783,0.009095,0.283383,0.333512,0.049726,0.090924,0.164154,0.139878,0.039687,0.108350,0.073767,0.258444
7,29376,0.009029,0.283054,0.384600,0.039965,0.081699,0.161084,0.113528,0.039011,0.119928,0.060185,0.277037
8,29038,0.008743,0.262690,0.369103,0.044562,0.075384,0.158826,0.125043,0.037089,0.124871,0.065122,0.282681
9,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
