day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,139532,0.039018,0.040270,0.655635,0.011875,0.007783,0.097548,0.011861,0.081874,0.035246,0.098178,0.288939
1,48882,0.017661,0.095557,0.387443,0.022933,0.029888,0.245960,0.027474,0.075365,0.092427,0.118510,0.275786
2,35013,0.010603,0.103390,0.353783,0.031331,0.037043,0.248850,0.038529,0.062948,0.107674,0.119841,0.266048
3,32330,0.009222,0.091216,0.367553,0.038478,0.041107,0.244603,0.052181,0.047603,0.113672,0.094804,0.254966
4,30729,0.008435,0.078428,0.363175,0.033616,0.058414,0.234469,0.061994,0.042370,0.122718,0.083244,0.278706
5,28791,0.007887,0.078184,0.346150,0.025876,0.070960,0.229377,0.080129,0.041193,0.125664,0.080650,0.276119
6,28242,0.008520,0.068869,0.383755,0.015509,0.067417,0.221904,0.069754,0.033957,0.138375,0.069329,0.264841
7,28015,0.008903,0.071033,0.385865,0.022952,0.069998,0.232697,0.068285,0.027699,0.127110,0.065394,0.285594
8,27890,0.007868,0.076802,0.392542,0.023162,0.070420,0.216529,0.066189,0.033919,0.127357,0.069882,0.262387
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
