day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,31655,10000,3.165500,-0.182376,0.297945,76,0.004007,2.835662
1,13938,7583,1.838059,-0.551879,0.135842,276,0.009060,2.834445
2,10075,6048,1.665840,-0.570030,0.077763,517,0.014162,2.835368
3,9148,5516,1.658448,-0.530045,0.051579,735,0.019176,2.837053
4,8506,5235,1.624833,-0.510786,0.036023,957,0.024361,2.839060
5,7986,4963,1.609107,-0.494277,0.026960,1188,0.029535,2.841595
6,7884,4866,1.620222,-0.477355,0.020497,1408,0.034570,2.844276
7,7733,4794,1.613058,-0.462623,0.016650,1605,0.039699,2.847138
8,7638,4719,1.618563,-0.438936,0.013798,1805,0.044838,2.850060
9,0,0,0.000000,0.000000,0.013798,1805,0.044838,2.850060
