day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,62707,0.094378,0.048910,0.290239,0.000048,0.693479,0.005773,0.000622,0.000064,0.005422,0.004354,0.288235
1,22873,0.021635,0.165566,0.205876,0.000175,0.720063,0.036637,0.002186,0.000437,0.028768,0.005858,0.293313
2,18652,0.014966,0.196279,0.219976,0.000429,0.684109,0.051308,0.002305,0.001019,0.033508,0.007345,0.313600
3,16042,0.012168,0.209575,0.199165,0.000374,0.692183,0.054357,0.001122,0.001247,0.038836,0.012717,0.311396
4,14714,0.010406,0.222101,0.198179,0.000544,0.672149,0.060079,0.000884,0.001563,0.052127,0.014476,0.315515
5,13219,0.009818,0.215221,0.196308,0.001362,0.664876,0.062335,0.000832,0.001135,0.054013,0.019139,0.313725
6,12929,0.009678,0.206048,0.195065,0.000773,0.681569,0.055534,0.001083,0.001470,0.049578,0.014928,0.346334
7,12075,0.009682,0.209524,0.182857,0.000580,0.678012,0.072464,0.001242,0.001408,0.048364,0.015072,0.308219
8,11486,0.008780,0.212171,0.173254,0.000435,0.690493,0.066777,0.001219,0.001828,0.047623,0.018370,0.307130
9,1,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
