day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,21077,10000,2.107700,-0.452117,0.253104,442,0.002439,2.832461
1,8682,5664,1.532839,-0.688657,0.143979,819,0.004860,2.831181
2,6950,4793,1.450031,-0.687241,0.092358,1169,0.007225,2.830899
3,6100,4392,1.388889,-0.709127,0.064684,1500,0.009600,2.831073
4,5656,4096,1.380859,-0.721892,0.047603,1827,0.012115,2.831229
5,5128,3794,1.351608,-0.723122,0.037126,2146,0.014531,2.831780
6,5055,3700,1.366216,-0.734331,0.029067,2473,0.017080,2.832436
7,4763,3561,1.337546,-0.732612,0.024439,2790,0.019607,2.833199
8,4545,3389,1.341104,-0.752834,0.022108,3082,0.022351,2.834437
9,1,1,1.000000,-1.000000,0.022108,3082,0.022352,2.834437
