day,impressions,creator_hhi,tail_creator_share,arch_genuinely_satisfying,arch_useful,arch_ragebait,arch_clickbait,arch_comfort,arch_polished_irrelevant,arch_niche_treasure,arch_background_music,niche_in_cohort_match_rate
0,185138,0.023693,0.107217,0.385523,0.549282,0.000000,0.000000,0.011067,0.000049,0.053960,0.000119,0.301301
1,91225,0.006900,0.284966,0.386528,0.506901,0.000000,0.000000,0.027175,0.000263,0.078432,0.000702,0.301328
2,72828,0.005938,0.295848,0.393242,0.496856,0.000000,0.000000,0.029563,0.000316,0.079447,0.000577,0.286035
3,64679,0.005811,0.279596,0.414663,0.483619,0.000000,0.000000,0.027304,0.000603,0.073455,0.000356,0.286256
4,60722,0.006469,0.245661,0.430717,0.465597,0.000000,0.000000,0.030944,0.001202,0.071160,0.000379,0.299005
5,58076,0.006211,0.252893,0.402851,0.467491,0.000000,0.000000,0.042444,0.005114,0.081583,0.000517,0.284508
6,58182,0.005931,0.258259,0.415799,0.458870,0.000000,0.000000,0.030731,0.004125,0.090303,0.000172,0.290445
7,56473,0.005865,0.257504,0.394082,0.481788,0.000000,0.000000,0.034565,0.003435,0.086077,0.000053,0.282864
8,54448,0.005575,0.262728,0.404404,0.467106,0.000000,0.000000,0.031553,0.002810,0.093906,0.000220,0.288480
9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
