day,sessions,active_users,sessions_per_active_user,mean_session_satisfaction,mean_trust,cumulative_churned,mean_pref_shift_from_initial,mean_preference_entropy
0,36635,10000,3.663500,-0.093429,0.366583,46,0.004301,2.838631
1,20044,8294,2.416687,-0.299333,0.180356,138,0.009905,2.837685
2,15632,7267,2.151094,-0.291959,0.106664,255,0.015653,2.839243
3,13809,6697,2.061968,-0.265235,0.072044,362,0.021299,2.841378
4,13030,6476,2.012044,-0.268056,0.051721,487,0.027316,2.844155
5,12378,6310,1.961648,-0.265347,0.039864,612,0.033852,2.847514
6,12267,6155,1.993014,-0.234699,0.032731,718,0.040823,2.851547
7,11871,6151,1.929930,-0.235143,0.027712,825,0.047901,2.855955
8,11494,6016,1.910572,-0.229135,0.024674,913,0.055383,2.860727
9,0,0,0.000000,0.000000,0.024674,913,0.055383,2.860727
